ogc_fid,objectid,epi_name,lga_code,lga_name,published_,commenced_,currency_d,amendment,map_type,map_name,lay_name,lay_class,h_id,h_name,sig,label,legis_ref_,legis_re_1,legis_re_2,pco_ref_ke,epi_type,sym_code,cadid,shape.star,item_no,item_name,item_link,ho_id,address,suburb,lga,informatio,verifiedad,longitude,latitude,locationco,postcode
"724","1439",Lane Cove Local Environmental Plan 2009,"4700",LANE COVE,2010/02/19 00:00:00.000,2010/02/19 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A2,"Shell Installation, 124 Greenwich Road",Local,,,,,2010-49,LEP,,"108012404",2.869725904e-06,"24820",Shell Installation,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=1920249,"1920249",124 Greenwich Road,Greenwich,Lane Cove,LGOV,124 GREENWICH ROAD GREENWICH,"151.1854056","-33.84032229",Great,"2065"
"760","587",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A539,"Sewerage Stack, Water Reserve",State,,,,,2012-540,LEP,,"108012461",3.732112e-09,,,,,,,,,,,,,
"765","480",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A540,European Rock Carvings,Local,,,,,2012-540,LEP,,"108012461",3.731657e-09,,,,,,,,,,,,,
"829","11392",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A532,CSIRO Astronomical Instrument Base,Local,,,,,2012-540,LEP,,"108012461",3.729838e-09,"5966",CSIRO Astronomical Instrument Base,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=2620428,"2620428",Rodney Reserve,Waverley,Waverley,"0","0","0","0","0","0"
"834","11415",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A543,Item,Local,,,,,2012-540,LEP,,"108012461",3.732112e-09,,,,,,,,,,,,,
"920","9413",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A528,Ben Eden,Local,,,,,2012-540,LEP,,"108012461",3.73393e-09,"1534",Ben Eden,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=2620244,"2620244",6 Paul Street,Bondi Junction,Waverley,"0","0","0","0","0","0"
"975","8656",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A535,Ben Buckler Battery site,State,,,,,2012-540,LEP,,"108012461",3.730747e-09,,,,,,,,,,,,,
"977","5932",Mosman Local Environmental Plan 2012,"5350",MOSMAN,2011/12/09 00:00:00.000,2011/12/09 00:00:00.000,2018/02/09 00:00:00.000,,,,,Item - Archaeological,A489,Sydney Harbour National Park,State,,,,,2011-647,LEP,,"108012409",1.16833235e-07,,,,,,,,,,,,,
"991","4579",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A547,Site of Wonderland and Aquarium,Local,,,,,2012-540,LEP,,"108012461",3.731657e-09,,,,,,,,,,,,,
"1342","11241",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A549,Glenrock Terrace,Local,,,,,2012-540,LEP,,"108012461",3.73393e-09,"10129",Glenrock Terrace,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=2620172,"2620172",4-22 High Street,Waverley,Waverley,"0","0","0","0","0","0"
"1344","11259",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A533,Item,Local,,,,,2012-540,LEP,,"108012461",3.731657e-09,"10528",Grocery,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=2620419,"2620419",144 Brighton Boulevarde,North Bondi,Waverley,LGOV,144 BRIGHTON BOULEVARD NORTH BONDI,"151.2842852","-33.89196481",Great,"2026"
"1384","11657",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A531,Gregory Memorial Fountain,Local,,,,,2012-540,LEP,,"108012461",3.732566e-09,"10488",Gregory Memorial Fountain,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=2620432,"2620432","Cricket Oval, Waverley Park",Bondi,Waverley,"0","0","0","0","0","0"
"1387","11686",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A530,Waverley Reservoir No.2,State,,,,,2012-540,LEP,,"108012461",3.733021e-09,,,,,,,,,,,,,
"1537","12518",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A529,Waverley Reservoir No.1,State,,,,,2012-540,LEP,,"108012461",3.733476e-09,,,,,,,,,,,,,
"1646","10974",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A545,"Pre-School Learning Centre, stone house",State,,,,,2012-540,LEP,,"108012461",3.732566e-09,,,,,,,,,,,,,
"1692","11649",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A546,"Aboriginal Carvings, Marks Park",Local,,,,,2012-540,LEP,,"108012461",3.733021e-09,,,,,,,,,,,,,
"1785","10658",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A527,Early industrial archaeological potential,Local,,,,,2012-540,LEP,,"108012461",3.732112e-09,"2146",Bondi Junction Timber & Hardware Co.,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=2620417,"2620417",47-49 Oxford Street,Bondi Junction,Waverley,LGOV,47-49 OXFORD STREET BONDI JUNCTION,"151.2445411","-33.89122056",Great,"2022"
"2045","11254",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A524,Natural Drain,Local,,,,,2012-540,LEP,,"108012461",3.73393e-09,"20202",Natural Drain,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=2620429,"2620429",Hunter Park,North Bondi,Waverley,"0","0","0","0","0","0"
"2048","11304",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A541,Stone Houses,Local,,,,,2012-540,LEP,,"108012461",3.732566e-09,,,,,,,,,,,,,
"2106","12040",Randwick Local Environmental Plan 2012,"6550",RANDWICK,2013/02/01 00:00:00.000,2013/02/15 00:00:00.000,2015/04/02 00:00:00.000,,,,,Item - Archaeological,A1,Bishopscourt,Local,,,,,2013-36,LEP,,"108012496",1.61317985e-07,,,,,,,,,,,,,
"2423","11546",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A537,"Aboriginal Rock Carvings, Bondi Golf Course",Local,,,,,2012-540,LEP,,"108012461",3.731657e-09,,,,,,,,,,,,,
"2443","8185",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A534,Rock-Cut Stairway,Local,,,,,2012-540,LEP,,"108012461",3.731657e-09,"23592",Rock-Cut Stairway,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=2620415,"2620415",Military Road (leading to Bamford Reserve),North Bondi,Waverley,"0","0","0","0","0","0"
"2524","10360",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A538,Soos Bakery,Local,,,,,2012-540,LEP,,"108012461",3.733021e-09,"25846",Soos Bakery,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=2620418,"2620418",Old South Head Road,North Bondi,Waverley,"0","0","0","0","0","0"
"3269","15421",Randwick Local Environmental Plan 2012,"6550",RANDWICK,2013/02/01 00:00:00.000,2013/02/15 00:00:00.000,2015/04/02 00:00:00.000,,,,,Item - Archaeological,A2,Original roadway and turning circle,Local,,,,,2013-36,LEP,,"108012496",1.031877218e-06,,,,,,,,,,,,,
"4118","17596",Lane Cove Local Environmental Plan 2009,"4700",LANE COVE,2013/08/30 00:00:00.000,2013/08/30 00:00:00.000,2017/12/15 00:00:00.000,Amendment No 9,,,,Item - Archaeological,A9,"Manns Point Reserve, Prospect Street",Local,,,,,2010-49,LEP,,"108012404",1.573626378e-06,,,,,,,,,,,,,
"5590","26109",Woollahra Local Environmental Plan 2014,"8500",WOOLLAHRA,2015/01/23 00:00:00.000,2015/05/23 00:00:00.000,2016/12/16 00:00:00.000,,,,,Item - Archaeological,A4,"Steele (Shark) Point Battery, and associated underground remains",Local,,,,,2015-20,LEP,,"108012463",2.01464445e-07,,,,,,,,,,,,,
"5979","28193",Mosman Local Environmental Plan 2012,"5350",MOSMAN,2016/06/24 00:00:00.000,2016/06/24 00:00:00.000,2018/02/09 00:00:00.000,Amendment No 9,,,,Item - Archaeological,A487,Abandoned tramway cutting,Local,,,,,2011-647,LEP,,"108012409",1.022808647e-06,,,,,,,,,,,,,
"6159","25440",Woollahra Local Environmental Plan 2014,"8500",WOOLLAHRA,2015/01/23 00:00:00.000,2015/05/23 00:00:00.000,2016/12/16 00:00:00.000,,,,,Item - Archaeological,A3,Emma's Well,Local,,,,,2015-20,LEP,,"108012463",1.6920239e-08,"7610",Emma's well,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=2711262,"2711262","New South Head Road, below entrance ramp to No.899",Rose Bay,Woollahra,"0","0","0","0","0","0"
"6304","28194",Mosman Local Environmental Plan 2012,"5350",MOSMAN,2016/06/24 00:00:00.000,2016/06/24 00:00:00.000,2018/02/09 00:00:00.000,Amendment No 9,,,,Item - Archaeological,A494,Sites of Curlew and Mia Mia Camps,Local,,,,,2011-647,LEP,,"108012409",5.80165761e-07,,,,,,,,,,,,,
"6305","28196",Mosman Local Environmental Plan 2012,"5350",MOSMAN,2016/06/24 00:00:00.000,2016/06/24 00:00:00.000,2018/02/09 00:00:00.000,Amendment No 9,,,,Item - Archaeological,A482,"Former Athol Wharf Tram Terminus, including escarpment and retaining walls",Local,,,,,2011-647,LEP,,"108012409",7.12949713e-07,,,,,,,,,,,,,
"6306","28198",Mosman Local Environmental Plan 2012,"5350",MOSMAN,2016/06/24 00:00:00.000,2016/06/24 00:00:00.000,2018/02/09 00:00:00.000,Amendment No 9,,,,Item - Archaeological,A489,Sydney Harbour National Park,State,,,,,2011-647,LEP,,"108012409",2.24035557e-06,,,,,,,,,,,,,
"6416","25442",Woollahra Local Environmental Plan 2014,"8500",WOOLLAHRA,2015/01/23 00:00:00.000,2015/05/23 00:00:00.000,2016/12/16 00:00:00.000,,,,,Item - Archaeological,A2,Double Bay Compressed Air Ejector Station,State,,,,,2015-20,LEP,,"108012463",2.1177129e-08,,,,,,,,,,,,,
"6444","25545",Woollahra Local Environmental Plan 2014,"8500",WOOLLAHRA,2015/01/23 00:00:00.000,2015/05/23 00:00:00.000,2016/12/16 00:00:00.000,,,,,Item - Archaeological,A6,Cobbled sandstone road archaeology,Local,,,,,2015-20,LEP,,"108012463",5.5909368e-08,,,,,,,,,,,,,
"6580","26095",Woollahra Local Environmental Plan 2014,"8500",WOOLLAHRA,2015/01/23 00:00:00.000,2015/05/23 00:00:00.000,2016/12/16 00:00:00.000,,,,,Item - Archaeological,A1,"Fence, gates and foundation remains of former house Canonbury, located within McKell Park",Local,,,,,2015-20,LEP,,"108012463",5.89353021e-07,,,,,,,,,,,,,
"6582","26110",Woollahra Local Environmental Plan 2014,"8500",WOOLLAHRA,2015/01/23 00:00:00.000,2015/05/23 00:00:00.000,2016/12/16 00:00:00.000,,,,,Item - Archaeological,A5,"Strickland House - Buildings and interiors, wharf, gardens, grounds, former quarry",State,,,,,2015-20,LEP,,"108012463",4.712437658e-06,"27592",Strickland House,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=2710015,"2710015",52 Vaucluse Road,Vaucluse,Woollahra,LGOV,52 VAUCLUSE ROAD VAUCLUSE,"151.267969","-33.85571669",Great,"2030"
"6840","32615",Leichhardt Local Environmental Plan 2013,"4800",LEICHHARDT,2013/12/23 00:00:00.000,2014/02/03 00:00:00.000,2017/02/17 00:00:00.000,,,,,Item - Archaeological,A7,Aboriginal middens and rock shelter,Local,,,,,2013-758,LEP,,"108012488",7.0051556e-08,,,,,,,,,,,,,
"6856","32794",Leichhardt Local Environmental Plan 2013,"4800",LEICHHARDT,2013/12/23 00:00:00.000,2014/02/03 00:00:00.000,2017/02/17 00:00:00.000,,,,,Item - Archaeological,A5,Former Morts Dock,State,,,,,2013-758,LEP,,"108012488",3.718767402e-06,,,,,,,,,,,,,
"6876","32919",Leichhardt Local Environmental Plan 2013,"4800",LEICHHARDT,2013/12/23 00:00:00.000,2014/02/03 00:00:00.000,2017/02/17 00:00:00.000,,,,,Item - Archaeological,A8,Aboriginal middens and rock shelter,Local,,,,,2013-758,LEP,,"108012488",4.2997272e-08,,,,,,,,,,,,,
"7169","32316",Leichhardt Local Environmental Plan 2013,"4800",LEICHHARDT,2013/12/23 00:00:00.000,2014/02/03 00:00:00.000,2017/02/17 00:00:00.000,,,,,Item - Archaeological,A4,Aboriginal midden and rock shelter,Local,,,,,2013-758,LEP,,"108012488",3.2749995e-08,,,,,,,,,,,,,
"7234","33041",Leichhardt Local Environmental Plan 2013,"4800",LEICHHARDT,2013/12/23 00:00:00.000,2014/02/03 00:00:00.000,2017/02/17 00:00:00.000,,,,,Item - Archaeological,A2,"Balmain to Greenwich Electric Cable Tunnel, including interiors",State,,,,,2013-758,LEP,,"108012488",4.831827e-08,"27768",Sydney Harbour Tunnel - Greenwich to Balmain,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=1940571,"1940571",146A& 146B Louisa Road,Birchgrove,Leichhardt,LGOV,146B LOUISA ROAD BIRCHGROVE,"151.1853489","-33.84673915",Great,"2041"
"7277","28195",Mosman Local Environmental Plan 2012,"5350",MOSMAN,2016/06/24 00:00:00.000,2016/06/24 00:00:00.000,2018/02/09 00:00:00.000,Amendment No 9,,,,Item - Archaeological,A483,Site of first wharf serving Taronga Zoo,Local,,,,,2011-647,LEP,,"108012409",3.37096481e-07,,,,,,,,,,,,,
"7369","62583",Mosman Local Environmental Plan 2012,"5350",MOSMAN,2016/06/24 00:00:00.000,2016/06/24 00:00:00.000,2018/02/09 00:00:00.000,Amendment No 9,,,,Item - Archaeological,A491,Site of original 1870s Musgrave Street wharf,Local,,,,,2011-647,LEP,,"108012409",1.43348643e-07,,,,,,,,,,,,,
"7415","59467",Marrickville Local Environmental Plan 2011,"5200",MARRICKVILLE,2017/12/22 00:00:00.000,2017/12/22 00:00:00.000,2017/12/22 00:00:00.000,Amendment No 10,,,,Item - General,I378,Potential archaeological site (including sandstone wall facing Berne Street),Local,,,,,2011-645,,,"108012449",5.7571924e-08,,,,,,,,,,,,,
"7439","32909",Leichhardt Local Environmental Plan 2013,"4800",LEICHHARDT,2013/12/23 00:00:00.000,2014/02/03 00:00:00.000,2017/02/17 00:00:00.000,,,,,Item - Archaeological,A6,Aboriginal middens and rock shelter,Local,,,,,2013-758,LEP,,"108012488",6.4642336e-08,,,,,,,,,,,,,
"7953","32728",Leichhardt Local Environmental Plan 2013,"4800",LEICHHARDT,2013/12/23 00:00:00.000,2014/02/03 00:00:00.000,2017/02/17 00:00:00.000,,,,,Item - Archaeological,A1,Gladstone Park Reservoir,Local,,,,,2013-758,LEP,,"108012488",1.80064944e-07,"9981",Gladstone Park Reservoir,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=1941386,"1941386",Booth,Balmain,Leichhardt,"0","0","0","0","0","0"
"8169","33765",Leichhardt Local Environmental Plan 2013,"4800",LEICHHARDT,2013/12/23 00:00:00.000,2014/02/03 00:00:00.000,2017/02/17 00:00:00.000,,,,,Item - Archaeological,A9,"(Balmain) Birchgrove Colliery, including interiors",Local,,,,,2013-758,LEP,,"108012488",1.902789336e-06,"25639",Site of (Balmain) Birchgrove Colliery,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=1940611,"1940611",8 Water Street,Birchgrove,Leichhardt,LGOV,8 WATER STREET BIRCHGROVE,"151.1780983","-33.85284121",Great,"2041"
"8243","35",Hawkesbury Local Environmental Plan 2012,"3800",HAWKESBURY,2012/09/21 00:00:00.000,2012/09/21 00:00:00.000,2012/09/21 00:00:00.000,,,,,Item - General,I427,St Joseph's Catholic Church (ruins),Local,,,,,2012-470,LEP,,"108012399",1.729275482e-06,"26383",St Joseph's Catholic Church (Ruins),http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=1741136,"1741136",1029 St Albans Road,Lower Macdonald,Hawkesbury,"0","0","0","0","0","0"
"8347","162",Newcastle Local Environmental Plan 2012,"5900",NEWCASTLE,2012/06/15 00:00:00.000,2012/06/15 00:00:00.000,2017/10/06 00:00:00.000,,,,,Item - Archaeological,A11,Former Locomotive Ash Pit,Local,,,,,2012-255,LEP,,"108012411",2.54062797e-07,,,,,,,,,,,,,
"8380","206",Randwick Local Environmental Plan 2012,"6550",RANDWICK,2013/02/01 00:00:00.000,2013/02/15 00:00:00.000,2015/04/02 00:00:00.000,,,,,Item - Archaeological,A9,"Former Prince Henry Hospital site, North Rock Anchor site",State,,,,,2013-36,LEP,,"108012496",1.8725132e-08,,,,,,,,,,,,,
"8404","240",Eurobodalla Local Environmental Plan 2012,"2750",EUROBODALLA,2012/07/20 00:00:00.000,2012/07/20 00:00:00.000,2016/09/23 00:00:00.000,,,,,Item - Archaeological,A21,Wreck of the John Penn,Local,,,,,2012-333,LEP,,"108012393",4.20073775e-07,"31940",Wreck of The John Penn,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=1550247,"1550247", ,Broulee,Eurobodalla,"0","0","0","0","0","0"
"8510","353",The Hills Local Environmental Plan 2012,"7420",THE HILLS,2016/12/23 00:00:00.000,2016/12/23 00:00:00.000,2016/12/23 00:00:00.000,Amendment No 36,HER,Heritage Map,Heritage,Item - Archaeological,A7,"'The Ridge', quarry site",Local,,,,,2012-509,LEP,,"108012467",7.1014951573e-05,"6471",Drainage Trench and Gate (part of Cattai Estate),http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=1090237,"1090237",2 Caddie Road,Cattai,The Hills,"0","0","0","0","0","0"
"8592","444",Bellingen Local Environmental Plan 2010,"600",BELLINGEN,2010/08/06 00:00:00.000,2010/08/06 00:00:00.000,2013/08/16 00:00:00.000,,,,,Item - Archaeological,A26,Dam and Weir,Local,,,,,2010-418,LEP,,"108012380",4.2512056e-08,,,,,,,,,,,,,
"8804","688",Liverpool Local Environmental Plan 2008,"4900",LIVERPOOL,2008/08/29 00:00:00.000,2008/08/29 00:00:00.000,2016/04/08 00:00:00.000,,,,,Item - General,"35","Horningsea Park Group, including site, main house and archaeological features",State,,,,,2008-403,LEP,,"108012406",1.574795533e-06,,,,,,,,,,,,,
"9089","1010",Bellingen Local Environmental Plan 2010,"600",BELLINGEN,2010/08/06 00:00:00.000,2010/08/06 00:00:00.000,2013/08/16 00:00:00.000,,,,,Item - Archaeological,A40,Remains of Wharf,Local,,,,,2010-418,LEP,,"108012380",2.1088462745e-05,"22738",Remains of Wharf,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=1110114,"1110114",626 Waterfall Way,Fernmount,Bellingen,"0","0","0","0","0","0"
"9134","1058",Wingecarribee Local Environmental Plan 2010,"8350",WINGECARRIBEE,2010/06/16 00:00:00.000,2010/06/16 00:00:00.000,2018/06/15 00:00:00.000,,,,,Item - Archaeological,A066,Mt Alexandra Reserve,Local,,,,,2010-245,LEP,,"108012504",3.7537406115e-05,"19774",Mt Alexandra Reserve,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=2680066,"2680066",Pioneer Street,Mittagong,Wingecarribee,"0","0","0","0","0","0"
"9201","1141",Bellingen Local Environmental Plan 2010,"600",BELLINGEN,2010/08/06 00:00:00.000,2010/08/06 00:00:00.000,2013/08/16 00:00:00.000,,,,,Item - Archaeological,A66,Willis Timber Mill Group - Community Hall,Local,,,,,2010-418,LEP,,"108012380",1.036075901e-06,,,,,,,,,,,,,
