TroveID,troveUrl,title,contributor,issued,year,abstract,subjects,URLs,ExternalURL_1,ExternalURL_1_type,relevanceScore,Address_export,Verified_Address,Longitude,Latitude,Location_Confidence,HOITEMID,ITEMNAME
37020633,http://trove.nla.gov.au/work/37020633,"Summary of report on the archaeological excavation of the site of the ""small miserable hut"", near Belgenny Farm, Elizabeth Macarthur Avenue, Camden, N.S.W. / Edward A.K. Higginbotham",not found,2010,2010,not found,not found,not found,not found,not found,0.094098754,No Street Address,not verified,not known,not known,unknown,5051408,Camden
38440688,http://trove.nla.gov.au/work/38440688,"Summary report, season 3, 2010 archaeological excavations : ""Small Miserable Hut"" & associated buildings, near Belgenny Farm, Elizabeth Macarthur Avenue, Camden, N.S.W. / [by] Richard A. K. Higginbotham","Higginbotham, Edward A. K",2010,2010,not found,not found,not found,not found,not found,0.021274488,"3 2010 ARCHAEOLOGICAL, not known, NSW",not verified,not known,not known,unknown,5051408,Camden
151073264,http://trove.nla.gov.au/work/151073264,"Archaeological assessment of the site of the old church and graveyard, St Andrews Church (now Housing NSW) Mayfield : report / by JCIS Consultants",JCIS Consultants,2009,2009,not found,not found,not found,not found,not found,0.089385994,No Street Address,not verified,not known,not known,unknown,5051475,Mayfield
158355787,http://trove.nla.gov.au/work/158355787,"Archaeological excavations at Gledswood 1 shelter, Northwest Queensland : final report prepared for the Woolgar Valley Aboriginal Corporation and AIATSIS","Wallis, Lynley Anne",2008,2008,not found,not found,not found,not found,not found,0.057624534,"1 SHELTER NORTHWEST, not known, NSW",not verified,not known,not known,unknown,5051540,Gledswood
235237474,http://trove.nla.gov.au/work/235237474,"Sydney Observatory 150th anniversary historical archaelogy research program : assessment, research design and methodology / prepared for the Powerhouse Museum, Government Architect's Office, NSW Department of Commerce",New South Wales. Government Architect's Office,2008,2008,not found,not found,not found,not found,not found,0.032266755,No Street Address,not verified,not known,not known,unknown,5051545,Sydney Observatory
34867087,http://trove.nla.gov.au/work/34867087,"Old Sydney Burial Ground, Sydney Town Hall : archaeological monitoring excavation / [prepared by Richard Mackay and Tony Lowe of Godden Mackay Pty Ltd] ; report prepared for the Council of the City of Sydney [and] The Heritage Council of NSW","Mackay, Richard",1991,1991,not found,not found,not found,not found,not found,0.0728945,No Street Address,not verified,not known,not known,unknown,5051902,Sydney Town Hall
23443552,http://trove.nla.gov.au/work/23443552,"Assessment of historical and archaeological resources of the Lilyvale site, The Rocks, Sydney / Penny Crook, Laila Ellmoos and Tim Murray","Crook, Penny",2003,2003,not found,not found,"[{u'linktype': u'unknown', u'type': u'url', u'linktext': u'Access full text', u'value': u'http://www.latrobe.edu.au/amc/assets/downloads/7_LVAssessReport.pdf'}, {u'linktype': u'unknown', u'type': u'url', u'linktext': u'Report 7', u'value': u'http://www.latrobe.edu.au/amc/reports/7_LVAssessReport.pdf'}]",http://www.latrobe.edu.au/amc/assets/downloads/7_LVAssessReport.pdf,unknown,0.078783385,No Street Address,not verified,not known,not known,unknown,5053173,Lilyvale
224307027,http://trove.nla.gov.au/work/224307027,"Assessment of Historical and Archaeological Resources of the Lilyvale site, The Rocks, Sydney","Crook, Penelope",2003,2003,DEST collection year:2004 DEST category:A2 - Books - Authored other - 2003 (15079) ,"[u'210108 Historical Archaeology (incl. Industrial Archaeology)', u'2101 (four-digit-FOR)']","[{u'linktype': u'notonline', u'type': u'url', u'linktext': u'View record at La Trobe University Research Online', u'value': u'http://hdl.handle.net/1959.9/347906'}]",http://hdl.handle.net/1959.9/347906,notonline,0.06445849,No Street Address,not verified,not known,not known,unknown,5053173,Lilyvale
13153446,http://trove.nla.gov.au/work/13153446,The Mint and Hyde Park Barracks archaeological investigation stage  5.1 : artefact analysis report / Andrew Wilson,"Wilson, Andrew",1985,1985,not found,not found,not found,not found,not found,0.13729215,No Street Address,not verified,not known,not known,unknown,5060189,Hyde Park
28537215,http://trove.nla.gov.au/work/28537215,"Assessment of historical and archaeological resources at the Hyde Park Barracks / Penny Crook, Laila Ellmoos and Tim Murray","Crook, Penny",2003,2003,not found,not found,"[{u'linktype': u'unknown', u'type': u'url', u'linktext': u'Access electronic version', u'value': u'http://www.latrobe.edu.au/amc/reports/4_HPBAssessReport.pdf'}]",http://www.latrobe.edu.au/amc/reports/4_HPBAssessReport.pdf,unknown,0.0786955,No Street Address,not verified,not known,not known,unknown,5060189,Hyde Park
224307514,http://trove.nla.gov.au/work/224307514,"Assessment of Historical and Archaeological Resources of the Hyde Park Barracks, Sydney","Crook, Penelope",2003,2003,DEST collection year:2004 DEST category:A2 - Books - Authored other - 2003 (15079) ,"[u'210108 Historical Archaeology (incl. Industrial Archaeology)', u'2101 (four-digit-FOR)']","[{u'linktype': u'fulltext', u'type': u'url', u'value': u'http://www.latrobe.edu.au/amc/reports/4_HPBAssessReport.pdf'}, {u'linktype': u'notonline', u'type': u'url', u'linktext': u'View record at La Trobe University Research Online', u'value': u'http://hdl.handle.net/1959.9/344082'}]",http://www.latrobe.edu.au/amc/reports/4_HPBAssessReport.pdf,fulltext,0.06416057,No Street Address,not verified,not known,not known,unknown,5060189,Hyde Park
156591750,http://trove.nla.gov.au/work/156591750,"Archaeological report, Hyde Park Barracks, September 1982-January 1983 / G.C. Wilson","Wilson, G. C",1983,1983,not found,not found,not found,not found,not found,0.047129184,No Street Address,not verified,not known,not known,unknown,5060189,Hyde Park
27920313,http://trove.nla.gov.au/work/27920313,St James and museum stations Hyde Park / archaeological assessment,Kinhill Engineers,1995,1995,not found,not found,not found,not found,not found,0.045196045,No Street Address,not verified,not known,not known,unknown,5060189,Hyde Park
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
