ID,Title,site_name,Short_site_name,Author,Organisation,Client,Year,item_link,Document Type,NSW Historic Theme,Original Document Quality,Contributor,Site Location,County,LGA,Address (export),Verified Address,Longitude,Latitude,Location Confidence,Suburb
1076,Millers Point Site 8900. Archaeological Master Strategy.,"32 Merriman Street and 55 Kent Street, Millers Point",32 Merriman Street and 55 Kent Street,Bairstow D. | ,,NSW Department of Housing,1987,http://nswaol.library.usyd.edu.au/view?docId=pdfs/12976_ID_Bairstow1987MillersPtSite8900ArchMasterStrategy.pdf;query=;brand=default,Survey/Assessment,"Environment - cultural landscape | Towns, suburbs and villages | ",Photocopy,Judy Birmingham Collection,"Millers Point, Sydney",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,"['MILLERS POINT', 'MILLER']"
1077,Millers Point Site 8900. Historical Archaeological Report Stage 1. 32 Merriman Street and 55 Kent Street.,"32 Merriman Street and 55 Kent Street, Millers Point",32 Merriman Street and 55 Kent Street,Bairstow D. | ,The Sydney University Centre for Historical Archaeology | ,The Department of Housing Urban Renewal Group.,1988,http://nswaol.library.usyd.edu.au/view?docId=pdfs/12935_ID_Bairstow1988MillersPtSite8900Stage1ExcavRpt.pdf;query=;brand=default,Excavation Report,"Domestic life | Towns, suburbs and villages | ",Photocopy | Poor quality image reproduction,Judy Birmingham Collection,"Millers Point, Sydney",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,"['MILLERS POINT', 'MILLER']"
1078,Millers Point Site 8900. Historical Archaeological Report Stage 1. 32 Merriman Street and 55 Kent Street. Appendices.,"32 Merriman Street and 55 Kent Street, Millers Point",32 Merriman Street and 55 Kent Street,Bairstow D. | ,The Sydney University Centre for Historical Archaeology | ,The Department of Housing Urban Renewal Group.,1988,http://nswaol.library.usyd.edu.au/view?docId=pdfs/12945_ID_Bairstow1988MillersPtSite8900Stage1Appendix.pdf;query=;brand=default,Excavation Report,"Domestic life | Towns, suburbs and villages | ",Photocopy,Judy Birmingham Collection,"Millers Point, Sydney",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,"['MILLERS POINT', 'MILLER']"
1413,"Report on the Archaeological Excavation of the Site of the New Blood Bank, Parramatta Hospital, George Street, Parramatta, N.S.W.","4 George Street, Parramatta",4 George Street,,Edward Higginbotham and Associates Pty Ltd. | ,"N.S.W. Public Works, Health Development",1994,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13147_ID_Higginbotham1994NewBloodBankParraHospExcavRpt.pdf;query=;brand=default,Excavation Report,Health | Welfare | ,Original master copy,Edward Higginbotham Collection,"George, Marsden, O'Connell Street, Parramatta",Cumberland,Parramatta City Council,No Street Address,not verified,not known,not known,unknown,['PARRAMATTA']
371,"Berths 6, 7, 8, & 9, Woolloomooloo Bay. History Archaeology and Documentation.","6 Cowper Wharf Rd, Woolloomooloo",6 Cowper Wharf Rd,Godden D. | Holt P. | Spearritt P. | ,Don Godden and Associates | ,"Woolloomooloo Bay Pty Ltd, a subsidiary of Pivot Group Limited",1989,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15451_ID_Godden1989Berths6to9WoolloomoolooBayArchAssess.pdf;query=;brand=default,Survey/Assessment,,Photocopy,Godden Mackay Logan Collection,"Cowper Wharf Rd, Berths 6-9, Woolloomooloo",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,['WOOLLOOMOOLOO']
1622,Sydney The Agar Steps Terraces Millers Point Historical Analysis.,"Agar Steps Terraces, Millers Point",Agar Steps Terraces,Thorp W. | ,Cultural Resources Management | ,Orwell and Peter Phillips Architects,1990,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13682_ID_Thorp1990AgarStepsMillersPtHrtgRpt.pdf;query=;brand=default,Heritage/Conservation,"Environment - cultural landscape | Towns, suburbs and villages | ",Original master copy | Original master copy,Wendy Thorp Collection,"Kent Street (Opposite High Street), Millers Point, NSW 2000",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,"['MILLERS POINT', 'MILLER', 'SYDNEY']"
516,"Cultural Heritage Study. Alan Davidson Park, Wyoming.","Alan Davidson Park, Wyoming",Alan Davidson Park,Varman R.V.J. | ,,Gosford City Council,2004,http://nswaol.library.usyd.edu.au/view?docId=pdfs/16241_ID_Varman2004AlanDavidsonPkWyomingHrtgRpt.pdf;query=;brand=default,Heritage/Conservation,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Egerton Place, Wyoming",Northumberland,Gosford City Council,No Street Address,not verified,not known,not known,unknown,['DAVIDSON']
517,"Cultural Heritage Study. Alan Davidson Park, Wyoming. [Colour version 1 of 3 pdfs]","Alan Davidson Park, Wyoming",Alan Davidson Park,Varman R.V.J. | ,,Gosford City Council,2004,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15665_ID_Varman2004AlanDavidsonPkWyomingHrtgRptColour1of3.pdf;query=;brand=default,Heritage/Conservation,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Egerton Place, Wyoming",Northumberland,Gosford City Council,No Street Address,not verified,not known,not known,unknown,['DAVIDSON']
518,"Cultural Heritage Study. Alan Davidson Park, Wyoming. [Colour version 2 of 3 pdfs]","Alan Davidson Park, Wyoming",Alan Davidson Park,Varman R.V.J. | ,,Gosford City Council,2004,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15694_ID_Varman2004AlanDavidsonPkWyomingHrtgRptColour2of3.pdf;query=;brand=default,Heritage/Conservation,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Egerton Place, Wyoming",Northumberland,Gosford City Council,No Street Address,not verified,not known,not known,unknown,['DAVIDSON']
519,"Cultural Heritage Study. Alan Davidson Park, Wyoming. [Colour version 3 of 3 pdfs]","Alan Davidson Park, Wyoming",Alan Davidson Park,Varman R.V.J. | ,,Gosford City Council,2004,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15683_ID_Varman2004AlanDavidsonPkWyomingHrtgRptColour3of3.pdf;query=;brand=default,Heritage/Conservation,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Egerton Place, Wyoming",Northumberland,Gosford City Council,No Street Address,not verified,not known,not known,unknown,['DAVIDSON']
797,Historical Analysis Albion Place Sydney.,"Albion Place, Sydney",Albion Place,Thorp W. | ,Wendy Thorp | ,NBRSP,1998,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13705_ID_Thorp1998AlbionPlaceSydneyHistoricalRpt.pdf;query=;brand=default,Heritage/Conservation,"Commerce | Industry | Towns, suburbs and villages | ",Original master copy | Original master copy,Wendy Thorp Collection,"Albion Place, Kent Street, George Street, Sydney",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,['SYDNEY']
780,"Heritage Impact Assessment. Alfred Street Priority Design Project, Circular Quay, Sydney.","Alfred Street, Circular Quay",Alfred Street,Thorp W. | ,,Council of the City of Sydney,1998,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13720_ID_Thorp1998AlfredStCircularQuayHrtgRpt.pdf;query=;brand=default,Heritage/Conservation,,Original master copy,Wendy Thorp,"Alfred Street, Circular Street",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,['SYDNEY']
42,Angel Place Project 1997 Archaeological Excavation Final Report. Volume 1.,"Angel Place, Sydney",Angel Place,Godden Mackay | ,Godden Mackay Heritage Consultants | ,AMP Asset Management Australia Ltd,1998,http://nswaol.library.usyd.edu.au/view?docId=pdfs/22663_ID_GoddenMackay1998AngelPlaceProjectArchExFinalRepVol1.pdf;query=;brand=default,Excavation Report,,Photocopy,Heritage Branch Library Collection,Pitt Street to George Street Sydney NSW 2000,Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
43,"Angel Place Project 1997 Archaeological Excavation Prehistory Report, Salvage Excavation of Site 45-6-2581. Volume 3.","Angel Place, Sydney",Angel Place,Godden Mackay | ,Godden Mackay Heritage Consultants | ,AMP Asset Management Australia Ltd,1998,http://nswaol.library.usyd.edu.au/view?docId=pdfs/22635_ID_GoddenMackay1998AngelPlaceProjectArchExPrehistoryReportVol3.pdf;query=;brand=default,Excavation Report,,Photocopy,Heritage Branch Library Collection,Pitt Street to George Street Sydney NSW 2000,Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
44,Angel Place Project 1997 Archaeological Excavation Specialist Reports. Volume 2.,"Angel Place, Sydney",Angel Place,Godden Mackay | ,Godden Mackay Heritage Consultants | ,AMP Asset Management Australia Ltd,1998,http://nswaol.library.usyd.edu.au/view?docId=pdfs/22638_ID_GoddenMackay1998AngelPlaceProjectArchExSpecialistReportsVol2.pdf;query=;brand=default,Artefact Report,,Photocopy,Heritage Branch Library Collection,Pitt Street to George Street Sydney NSW 2000,Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
45,Angel Place Sydney Archaeological Assessment.,"Angel Place, Sydney",Angel Place,Kelly M. | Yarad F. | Mider D. | ,Godden Mackay Pty Ltd | ,AMP Investments Pty Ltd | Peddle Thorp Architects,1995,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13223_ID_KellyEtal1995AngelPlaceSydneyArchAssess.pdf;query=;brand=default,Survey/Assessment,"Towns, suburbs and villages | ",Original master copy,Godden Mackay Logan Collection,"Angel Place, Sydney",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,['SYDNEY']
324,"Area 25. Perry Lane, Downshire & Pottinger Streets, Walsh Bay. Excavation Report.","Area 25, 14 Pottinger Street, Dawes Point",Area 25,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2007,http://nswaol.library.usyd.edu.au/view?docId=pdfs/16223_ID_Varman2005Area25WalshBayExcavRpt.pdf;query=;brand=default,Excavation Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Perry Lane, Downshire & Pottinger Streets, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
325,"Area 25. Perry Lane, Downshire & Pottinger Streets, Walsh Bay. Excavation Report. [Colour version 1 of 11 pdfs]","Area 25, 14 Pottinger Street, Dawes Point",Area 25,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2007,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15697_ID_Varman2005Area25WalshBayExcavRptColour1of11.pdf;query=;brand=default,Excavation Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Perry Lane, Downshire & Pottinger Streets, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
326,"Area 25. Perry Lane, Downshire & Pottinger Streets, Walsh Bay. Excavation Report. [Colour version 10 of 11 pdfs]","Area 25, 14 Pottinger Street, Dawes Point",Area 25,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2007,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15716_ID_Varman2005Area25WalshBayExcavRptColour10of11.pdf;query=;brand=default,Excavation Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Perry Lane, Downshire & Pottinger Streets, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
327,"Area 25. Perry Lane, Downshire & Pottinger Streets, Walsh Bay. Excavation Report. [Colour version 11 of 11 pdfs]","Area 25, 14 Pottinger Street, Dawes Point",Area 25,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2007,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15691_ID_Varman2005Area25WalshBayExcavRptColour11of11.pdf;query=;brand=default,Excavation Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Perry Lane, Downshire & Pottinger Streets, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
328,"Area 25. Perry Lane, Downshire & Pottinger Streets, Walsh Bay. Excavation Report. [Colour version 2 of 11 pdfs]","Area 25, 14 Pottinger Street, Dawes Point",Area 25,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2007,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15690_ID_Varman2005Area25WalshBayExcavRptColour2of11.pdf;query=;brand=default,Excavation Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Perry Lane, Downshire & Pottinger Streets, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
329,"Area 25. Perry Lane, Downshire & Pottinger Streets, Walsh Bay. Excavation Report. [Colour version 3 of 11 pdfs]","Area 25, 14 Pottinger Street, Dawes Point",Area 25,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2007,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15685_ID_Varman2005Area25WalshBayExcavRptColour3of11.pdf;query=;brand=default,Excavation Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Perry Lane, Downshire & Pottinger Streets, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
330,"Area 25. Perry Lane, Downshire & Pottinger Streets, Walsh Bay. Excavation Report. [Colour version 4 of 11 pdfs]","Area 25, 14 Pottinger Street, Dawes Point",Area 25,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2007,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15680_ID_Varman2005Area25WalshBayExcavRptColour4of11.pdf;query=;brand=default,Excavation Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Perry Lane, Downshire & Pottinger Streets, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
331,"Area 25. Perry Lane, Downshire & Pottinger Streets, Walsh Bay. Excavation Report. [Colour version 5 of 11 pdfs]","Area 25, 14 Pottinger Street, Dawes Point",Area 25,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2007,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15678_ID_Varman2005Area25WalshBayExcavRptColour5of11.pdf;query=;brand=default,Excavation Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Perry Lane, Downshire & Pottinger Streets, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
332,"Area 25. Perry Lane, Downshire & Pottinger Streets, Walsh Bay. Excavation Report. [Colour version 6 of 11 pdfs]","Area 25, 14 Pottinger Street, Dawes Point",Area 25,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2007,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15718_ID_Varman2005Area25WalshBayExcavRptColour6of11.pdf;query=;brand=default,Excavation Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Perry Lane, Downshire & Pottinger Streets, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
333,"Area 25. Perry Lane, Downshire & Pottinger Streets, Walsh Bay. Excavation Report. [Colour version 7 of 11 pdfs]","Area 25, 14 Pottinger Street, Dawes Point",Area 25,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2007,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15701_ID_Varman2005Area25WalshBayExcavRptColour7of11.pdf;query=;brand=default,Excavation Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Perry Lane, Downshire & Pottinger Streets, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
334,"Area 25. Perry Lane, Downshire & Pottinger Streets, Walsh Bay. Excavation Report. [Colour version 8 of 11 pdfs]","Area 25, 14 Pottinger Street, Dawes Point",Area 25,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2007,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15682_ID_Varman2005Area25WalshBayExcavRptColour8of11.pdf;query=;brand=default,Excavation Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Perry Lane, Downshire & Pottinger Streets, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
335,"Area 25. Perry Lane, Downshire & Pottinger Streets, Walsh Bay. Excavation Report. [Colour version 9 of 11 pdfs]","Area 25, 14 Pottinger Street, Dawes Point",Area 25,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2007,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15681_ID_Varman2005Area25WalshBayExcavRptColour9of11.pdf;query=;brand=default,Excavation Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Perry Lane, Downshire & Pottinger Streets, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
374,Bond 4 East (Area 32) Excavation Catalogue. Part 1. Ceramics.,"Area 32, 20 Hickson Road, Millers Point",Area 32,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2003,http://nswaol.library.usyd.edu.au/view?docId=pdfs/16243_ID_Varman2003Bond4EastWalshBayPart1of2ArtefactCatalogue.pdf;query=;brand=default,Artefact Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Windmill and Pottinger Sts, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
375,Bond 4 East (Area 32) Excavation Catalogue. Part 1. Ceramics. [Colour version 1 of 8 pdfs],"Area 32, 20 Hickson Road, Millers Point",Area 32,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2003,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15669_ID_Varman2003Bond4EastWalshBayPart1of2ArtefactCatalogueColour1of8.pdf;query=;brand=default,Artefact Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Windmill and Pottinger Sts, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
376,Bond 4 East (Area 32) Excavation Catalogue. Part 1. Ceramics. [Colour version 2 of 8 pdfs],"Area 32, 20 Hickson Road, Millers Point",Area 32,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2003,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15717_ID_Varman2003Bond4EastWalshBayPart1of2ArtefactCatalogueColour2of8.pdf;query=;brand=default,Artefact Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Windmill and Pottinger Sts, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
377,Bond 4 East (Area 32) Excavation Catalogue. Part 1. Ceramics. [Colour version 3 of 8 pdfs],"Area 32, 20 Hickson Road, Millers Point",Area 32,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2003,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15720_ID_Varman2003Bond4EastWalshBayPart1of2ArtefactCatalogueColour3of8.pdf;query=;brand=default,Artefact Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Windmill and Pottinger Sts, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
378,Bond 4 East (Area 32) Excavation Catalogue. Part 1. Ceramics. [Colour version 4 of 8 pdfs],"Area 32, 20 Hickson Road, Millers Point",Area 32,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2003,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15715_ID_Varman2003Bond4EastWalshBayPart1of2ArtefactCatalogueColour4of8.pdf;query=;brand=default,Artefact Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Windmill and Pottinger Sts, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
379,Bond 4 East (Area 32) Excavation Catalogue. Part 1. Ceramics. [Colour version 5 of 8 pdfs],"Area 32, 20 Hickson Road, Millers Point",Area 32,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2003,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15688_ID_Varman2003Bond4EastWalshBayPart1of2ArtefactCatalogueColour5of8.pdf;query=;brand=default,Artefact Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Windmill and Pottinger Sts, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
380,Bond 4 East (Area 32) Excavation Catalogue. Part 1. Ceramics. [Colour version 6 of 8 pdfs],"Area 32, 20 Hickson Road, Millers Point",Area 32,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2003,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15674_ID_Varman2003Bond4EastWalshBayPart1of2ArtefactCatalogueColour6of8.pdf;query=;brand=default,Artefact Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Windmill and Pottinger Sts, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
381,Bond 4 East (Area 32) Excavation Catalogue. Part 1. Ceramics. [Colour version 7 of 8 pdfs],"Area 32, 20 Hickson Road, Millers Point",Area 32,Varman R.V.J. | ,,Walsh Bay Finance Pty Ltd,2003,http://nswaol.library.usyd.edu.au/view?docId=pdfs/15662_ID_Varman2003Bond4EastWalshBayPart1of2ArtefactCatalogueColour7of8.pdf;query=;brand=default,Artefact Report,,Photocopy | Poor quality image reproduction,Robert V. J. Varman Collection,"Windmill and Pottinger Sts, Walsh Bay",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
