TroveID,troveUrl,title,site_name,contributor,issued,year,abstract,subjects,URLs,ExternalURL_1,ExternalURL_1_type,relevanceScore,suburbs,Short_site_name
21508500,http://trove.nla.gov.au/work/21508500,"Report on the archaeological monitoring programme of the sewer diversion for the new blood bank, Parramatta Hospital, George Street, Parramatta, N.S.W. / E. Higginbotham for Department of Health, N.S.W","4 George Street, Parramatta","Higginbotham, Edward A. K",1993,1993,not found,not found,not found,not found,not found,0.036847927,['PARRAMATTA'],4 George Street
160038435,http://trove.nla.gov.au/work/160038435,"Report on the archaeological monitoring programme during the demolition of 21, 29, 33 and 67 Junction Road, Baulkham Hills, N.S.W. / Edward Higginbotham for Roads and Traffic Authority","67 Junction Road, Baulkham Hills","Higginbotham, Edward A. K",1995,1995,not found,not found,not found,not found,not found,0.035514466,['BAULKHAM HILLS'],67 Junction Road
35176962,http://trove.nla.gov.au/work/35176962,"Archaeological excavation 2003 season final report : 72 (76) Phillip Street, Brown's and Walker's cordial factory yard, former MWS&DB Depot, Parramatta N.S.W. / Martin Carney, Fenella Atkinson","72 Phillip Street, Parramatta","Carney, Martin D",2004,2004,not found,not found,not found,not found,not found,0.12428372,['PARRAMATTA'],72 Phillip Street
6065543,http://trove.nla.gov.au/work/6065543,"Admiralty House, Kirribilli, Sydney, N.S.W. : report on archaeological inspection of maintenance works / report compiled by Edward Higginbotham","Admiralty House, Kirribilli","Higginbotham, Edward A. K",1983,1983,not found,not found,not found,not found,not found,0.07851975,"['SYDNEY', 'KIRRIBILLI']",Admiralty House
31968832,http://trove.nla.gov.au/work/31968832,"Annesley House : an archaeological assessment of the former Annesley House site, Balmain Road Leichhardt, NSW / ford archaeological services for the Department of Public Works and Services",Annesley House,New South Wales. Dept. of Public Works and Services,2000,2000,not found,not found,not found,not found,not found,0.08805042,"['LEICHHARDT', 'BALMAIN']",Annesley House
198856754,http://trove.nla.gov.au/work/198856754,"An archaeological assessment of Bald Face Point Reserve, Stuart Street, Blakehurst, New South Wales / Vanessa Hardy","Bald Face Point Reserve, Blakehurst","Hardy, Vanessa",2002,2002,not found,not found,not found,not found,not found,0.05190476,['BLAKEHURST'],Bald Face Point Reserve
223425481,http://trove.nla.gov.au/work/223425481,"Barangaroo Headland Park, historical archaeological excavation, Sydney : Final report / prepared by Alan Hay of Austral Archaeology Pty Ltd ... for Lend Lease Corporation Limited",Barangaroo Headland Park,"Hay, Alan",2016,2016,not found,not found,not found,not found,not found,0.21358004,"['SYDNEY', 'AUSTRAL', 'BARANGAROO']",Barangaroo Headland Park
22070229,http://trove.nla.gov.au/work/22070229,"Report on the archaeological monitoring programme for the construction of a basketball court : Hyland Farm Road Group, Hyland Road Greystanes, N.S.W. / Edward Higginbotham","basketball court, Hyland Farm Road, Greystanes","Higginbotham, Edward A. K",1993,1993,not found,not found,not found,not found,not found,0.041756004,['GREYSTANES'],Hyland Farm Road Group
160035177,http://trove.nla.gov.au/work/160035177,"Historical and archaeological analysis of proposed main road between Southern Cross Drive and General Holmes Drive, Mascot and Eastlakes, Sydney, N.S.W. / report compiled by Edward Higginbotham",between Southern Cross Drive and General Holmes Drive,"Higginbotham, Edward A. K",1985,1985,not found,not found,not found,not found,not found,0.03319434,"['EASTLAKES', 'MASCOT', 'SYDNEY']",between Southern Cross Drive and General Holmes Drive
18356079,http://trove.nla.gov.au/work/18356079,"Historical and archaeological analysis of proposed main road between Southern Cross Drive and General Holmes Drive, Mascot and Eastlakes, Sydney, N.S.W. : report / compiled by Edward Higginbotham ; historical research by Edward Higginbotham and Guy MacKanna ; historical outline (section 2.0) by Guy Mackanna ; edited by Edward Higginbotham for the Dept. of Main Roads, N.S.W",between Southern Cross Drive and General Holmes Drive,"Higginbotham, Edward A. K",1985,1985,not found,not found,not found,not found,not found,0.029896453,"['EASTLAKES', 'MASCOT', 'SYDNEY']",between Southern Cross Drive and General Holmes Drive
20932041,http://trove.nla.gov.au/work/20932041,"Blackfriars School site baseline archaeological assessment / for the University of Technology Sydney [by] Casey & Lowe Associates, Archaeologists & Heritage Consultants","Blackfriars School, UTS Sydney","University of Technology, Sydney",1993,1993,not found,not found,not found,not found,not found,0.060002252,['SYDNEY'],Blackfriars School
20089011,http://trove.nla.gov.au/work/20089011,"Historical archaeological test excavation report : former Bonnyrigg Male Orphan School site, Bonnyrigg NSW / Peter Douglas & Cosmos Coroneos",Bonnyrigg Male Orphan School,"Douglas, Peter archaeologist",2005,2005,not found,not found,not found,not found,not found,0.18928061,['BONNYRIGG'],Bonnyrigg Male Orphan School
29706137,http://trove.nla.gov.au/work/29706137,Research design & excavation methodology for proposed investigations at the former Bonnyrigg Male Orphan School site (on land between Brown & Homestead Rd's - Bonnyrigg NSW) / Peter Douglas ; on behalf of Landcom,Bonnyrigg Male Orphan School,"Douglas, Peter archaeologist",2004,2004,not found,not found,not found,not found,not found,0.049765795,['BONNYRIGG'],Bonnyrigg Male Orphan School
22536182,http://trove.nla.gov.au/work/22536182,"Botany Pumping Station ruins : archaeological report on the Pumping Station ruins at the former Botany Water Works, Sydney / C & MJ Doring","Botany Water Works, Sydney",C. and M. J. Doring (Firm),1996,1996,not found,not found,not found,not found,not found,0.040403694,"['SYDNEY', 'BOTANY']",Botany Water Works
22071663,http://trove.nla.gov.au/work/22071663,"Report on the archaeological monitoring programme of works associated with the construction of the Sydney Harbour Tunnel at Bradfield Park, Milson's Point, Sydney, N.S.W / E. Higginbotham","Bradfield Park, Milson's Point","Higginbotham, Edward A. K",1992,1992,not found,not found,not found,not found,not found,0.04146559,['SYDNEY'],Bradfield Park
25998123,http://trove.nla.gov.au/work/25998123,"Bullecourt Place, Ultimo : archaeological excavation report / prepared for Australand Holdings Ltd and Heritage Council of NSW [by] Godden Mackay Logan Heritage Consultants","Bullecourt Place, Ultimo",Godden Mackay Logan Pty. Ltd,2004,2004,not found,not found,not found,not found,not found,0.09244461,"['ULTIMO', 'AUSTRAL']",Bullecourt Place
160036747,http://trove.nla.gov.au/work/160036747,Burwood copper smelter : manager's house site historical archaeological report / Damaris Bairstow for Hunter District Water Board,Burwood copper smelter,"Bairstow, Damaris",1987,1987,not found,not found,not found,not found,not found,0.038055655,['BURWOOD'],Burwood copper smelter
34022505,http://trove.nla.gov.au/work/34022505,"Archaeological assessment Butcher Brothers' Brickworks Alto Place, Artarmon / Report to Thiess John Holland Joint Venture [by] Casey & Lowe Pty Ltd","Butcher Brothers' Brickworks Alto Place, Artarmon",Thiess John Holland Joint Venture,2004,2004,not found,not found,not found,not found,not found,0.05471803,['ARTARMON'],Butcher Brothers' Brickworks Alto Place
22111429,http://trove.nla.gov.au/work/22111429,"An archaeological investigation of Aboriginal sites at Callan Point and Yurulbin point : a report to the Leichhardt Council / by Australian Archaeological Survey Consultants Pty. Ltd. (AASC), (Huys, Johnston, Wickman)","Callan Point and Yurulbin point, Leichhardt",Australian Archaeological Survey Consultants Pty. Ltd,1995,1995,not found,not found,not found,not found,not found,0.19777517,"['LEICHHARDT', 'AUSTRAL']",Callan Point and Yurulbin point
9881742,http://trove.nla.gov.au/work/9881742,"Historical & archaeological assessment of the proposed site for NSW Water Police at Camerons Cove East Balmain NSW : a report prepared in accordance with the requirements of the Camerons Cove Master Plan adopted by the Minister of Urban Affairs & Planning, 3rd October, 2000 / Graham Wilson ... [et al.]","Cameron's Cove, Balmain","Wilson, Graham",2001,2001,not found,not found,not found,not found,not found,0.08977712,['BALMAIN'],Cameron's Cove
10271808,http://trove.nla.gov.au/work/10271808,"Sydney Water Police relocation to Cameron's Cove, Balmain : maritime archaeological assessment : final / prepared for Archaeological & Heritage Management Solutions Pty Ltd (AHMS) by Cosmos Coroneos","Cameron's Cove, Balmain","Coroneos, Cosmos",2003,2003,not found,not found,not found,not found,not found,0.0542323,"['SYDNEY', 'BALMAIN']",Cameron's Cove
27687828,http://trove.nla.gov.au/work/27687828,"Report on the archaeological monitoring programme during construction of the Campbelltown Medical and Dental Clinic, Queen Street, Campbelltown, N.S.W. / Edward Higginbotham for Tim Shellshear & Associates Architects Pty Ltd","Campbelltown Medical and Dental Clinic, Queen Street, Campbelltown","Higginbotham, Edward A. K",2000,2000,not found,not found,not found,not found,not found,0.043274827,['CAMPBELLTOWN'],Campbelltown Medical and Dental Clinic
220908542,http://trove.nla.gov.au/work/220908542,"Camperdown Memorial Rest Park, Newtown : archaeological assessment of proposed landscaping and research design for mitigation / Denis Gojak, Banksia Heritage + Archaeology for Marrickville Municipal Council",Camperdown Memorial Rest Park,"Gojak, Denis",2002,2002,not found,not found,not found,not found,not found,0.1301324,"['BANKSIA', 'NEWTOWN', 'CAMPERDOWN', 'MARRICKVILLE']",Camperdown Memorial Rest Park
34864281,http://trove.nla.gov.au/work/34864281,Carrington watchhouse : Lot 7. Section K. Carrington village. Report to the Heritage Council of New South Wales / Damaris Bairstow with Sydney University Centre for Historical Archaeology,Carrington watchhouse,"Bairstow, Damaris",1988,1988,not found,not found,not found,not found,not found,0.037647717,['SYDNEY'],Carrington watchhouse
30476057,http://trove.nla.gov.au/work/30476057,"Castle Hill Heritage Park : archaeological assessment research design & excavation methodology for proposed monitoring of landscaping & test investigation at the barracks & schoolhouse sites / Archaeological & Heritage Management Solutions Pty Ltd, on behalf of Baulkham Hills Shire Council",Castle Hill Heritage Park,Baulkham Hills (N.S.W. : Shire). Council,2003,2003,not found,not found,not found,not found,not found,0.19163984,"['CASTLE HILL', 'BAULKHAM HILLS']",Castle Hill Heritage Park
8670548,http://trove.nla.gov.au/work/8670548,"Aboriginal archaeological test excavation report for proposed development of Castle Hill Heritage Park, Castle Hill, NSW : report prepared in support of an application under Section 90 of the National Parks and Wildlife Act (1974) for a heritage impact permit / by Jim Wheeler ... [et al.], on behalf of Baulkham Hills Shire Council",Castle Hill Heritage Park,"Wheeler, Jim archaeologist",2003,2003,not found,not found,not found,not found,not found,0.1174715,"['CASTLE HILL', 'BAULKHAM HILLS']",Castle Hill Heritage Park
30475419,http://trove.nla.gov.au/work/30475419,"Castle Hill Heritage Park : Aboriginal archaeological assessment & development impact mitigation strategy for proposed archaeological test excavations / Jim Wheeler, Peter Douglas & Chris Lewczak, on behalf of Baulkham Hills Shire Council",Castle Hill Heritage Park,"Wheeler, Jim archaeologist",2003,2003,not found,not found,not found,not found,not found,0.083797745,"['CASTLE HILL', 'BAULKHAM HILLS']",Castle Hill Heritage Park
20561781,http://trove.nla.gov.au/work/20561781,Castle Hill Heritage Park : archaeological excavation report for the Stage 1 Redevelopment Area / [Graham Wilson & Peter Douglas],Castle Hill Heritage Park,"Wilson, Graham archaeologist",2005,2005,not found,not found,not found,not found,not found,0.14457437,['CASTLE HILL'],Castle Hill Heritage Park
18299574,http://trove.nla.gov.au/work/18299574,Castle Hill archaeological report / editor: Judy Birmingham,Castle Hill Heritage Park,"Birmingham, Judy",1984,1984,not found,not found,not found,not found,not found,0.056347888,['CASTLE HILL'],Castle Hill Heritage Park
171865040,http://trove.nla.gov.au/work/171865040,"Heritage & Archaeological Assessment : portions of Cliftonville Road, Upper Half Moon Reach Hawkesbury River, Lower Portland N.S.W. / Martin Carney and Fenella Atkinson for Baulkham Hills Shire Council","Cliftonville Road, Upper Half Moon Reach Hawkesbury River, Lower Portland","Carney, Martin",2003,2003,not found,not found,not found,not found,not found,0.07257738,"['CLIFTON', 'LOWER PORTLAND', 'BAULKHAM HILLS']",Cliftonville Road
164182355,http://trove.nla.gov.au/work/164182355,"Archaeological report coastal cliff walk South Head / M. Koettig, G. C. Wilson for Woollahra Municipal Council","coastal cliff walk, South Head","Koettig, Margrit",1986,1986,not found,not found,not found,not found,not found,0.030018158,['WOOLLAHRA'],coastal cliff walk
6211712,http://trove.nla.gov.au/work/6211712,"Historical and archaeological investigation of a stone lined watercourse and other features, Commonwealth Analytical Laboratories, Suakin Street Pymble, NSW / report prepared by E. Higginbotham ; historical research by Terry Kass","Commonwealth Analytical Laboratories, Suakin Street Pymble","Higginbotham, Edward A. K",1988,1988,not found,not found,not found,not found,not found,0.099003285,['PYMBLE'],Commonwealth Analytical Laboratories
7876956,http://trove.nla.gov.au/work/7876956,"Archaeological investigations in the grounds of Como House, 1996 : report prepared for the National Trust of Australia (Victoria) / by Phillip C. Edwards","Como House, Victoria","Edwards, Phillip C. (Phillip Charles)",1998,1998,not found,not found,not found,not found,not found,0.09331751,"['COMO', 'AUSTRAL']",Como House
19405044,http://trove.nla.gov.au/work/19405044,"Archaeological investigation, Conservatorium site, Macquarie Street, Sydney / for NSW Department of Public Works & Services ; Casey & Lowe Pty Ltd","Conservatorium of Music, Sydney",Casey & Lowe Associates,2002,2002,not found,not found,not found,not found,not found,0.07402328,['SYDNEY'],Conservatorium of Music
19862081,http://trove.nla.gov.au/work/19862081,"Cowpasture Road upgrade, northern section (North Liverpool road to the West Link M7 Motorway), Liverpool NSW, Aboriginal Archaeological Assessment / Fiona Leslie, Jim Wheeler & Peter Douglas",Cowpasture Road (North Liverpool road to the West Link M7 Motorway),"Leslie, Fiona",2005,2005,not found,not found,not found,not found,not found,0.067492306,['LIVERPOOL'],Cowpasture Road (North Liverpool road to the West Link M7 Motorway)
157325865,http://trove.nla.gov.au/work/157325865,"Report on archaeological monitoring programme on site A, Cumberland Hospital, Eastern campus, Parramatta, N.S.W. for Western Sydney Area Health Service","Cumberland Hospital, Parramatta","Higginbotham, Edward A. K",1997,1997,not found,not found,not found,not found,not found,0.029828243,"['SYDNEY', 'PARRAMATTA']",Cumberland Hospital
13170005,http://trove.nla.gov.au/work/13170005,Customs House Sydney archaeological assessment : a report prepared for Sydney City council / Wendy Thorp,"Customs House, Sydney","Thorp, Wendy",1995,1995,not found,not found,not found,not found,not found,0.106288336,['SYDNEY'],Customs House
24762198,http://trove.nla.gov.au/work/24762198,"Archaeological assessment : sections of the Darlington Campus, University of Sydney / Casey & Lowe Associates for the University of Sydney","Darlington Campus, University of Sydney",Casey & Lowe Associates,1997,1997,not found,not found,not found,not found,not found,0.066831164,"['SYDNEY', 'DARLINGTON']",Darlington Campus
213229178,http://trove.nla.gov.au/work/213229178,"Report on archaeological monitoring of drill pits at the south portal of the disused railway tunnel, Otford to Stanwell Park, N.S.W. / Edward Higginbotham for Priority Sewerage Programme, Sydney Water Corporation","disused railway tunnel, Otford to Stanwell Park","Higginbotham, Edward",2004,2004,not found,not found,not found,not found,not found,0.02490357,"['STANWELL PARK', 'OTFORD', 'SYDNEY']",disused railway tunnel
26223608,http://trove.nla.gov.au/work/26223608,"Archaeological assessment old DMR site, Castlereagh, Campbell and Pitt Streets Sydney for Meriton Apartments Pty Ltd / [by] Casey & Lowe Associates","DMR site, Sydney",Casey & Lowe Associates,1994,1994,not found,not found,not found,not found,not found,0.05575177,"['CASTLEREAGH', 'SYDNEY']",DMR site
171902316,http://trove.nla.gov.au/work/171902316,"Baseline archaeological assessment : parts of Driver and John Hargreaves Avenues, Moore Park, N.S.W. / Fenella Atkinson for Optus Networks","Driver and John Hargreaves Avenues, Moore Park","Atkinson, Fenella",2004,2004,not found,not found,not found,not found,not found,0.093259215,['MOORE PARK'],Driver and John Hargreaves Avenues
31383212,http://trove.nla.gov.au/work/31383212,"Archaeological assessment of the proposed burial crypt/vault development site at Eastern Suburbs Memorial Park, Matraville, NSW / Dan Tuck & Peter Douglas, on behalf of N & F Arciuli Pty Ltd","Eastern Suburbs Memorial Park, Matraville","Tuck, Dan",2002,2002,not found,not found,not found,not found,not found,0.08269448,['MATRAVILLE'],Eastern Suburbs Memorial Park
13546540,http://trove.nla.gov.au/work/13546540,"Archaeological investigation of the mission house, Ebenezer Mission, Victoria : report to Heritage Victoria and Aboriginal Affairs Victoria / Jane Lydon, Alasdair Brooks and Zvonkica Stanin","Ebenezer Mission, Victoria","Lydon, Jane",2004,2004,not found,not found,not found,not found,not found,0.11237268,['EBENEZER'],Ebenezer Mission
32619687,http://trove.nla.gov.au/work/32619687,"Archaeological investigation of the former Ebenezer Mission, Victoria : stage II : community report / Jane Lydon","Ebenezer Mission, Victoria","Lydon, Jane",2007,2007,not found,not found,not found,not found,not found,0.11113827,['EBENEZER'],Ebenezer Mission
33288000,http://trove.nla.gov.au/work/33288000,"Archaeological investigation of the mission house, Ebenezer Mission, Victoria : community report / Jane Lydon","Ebenezer Mission, Victoria","Lydon, Jane",2004,2004,not found,not found,not found,not found,not found,0.097210765,['EBENEZER'],Ebenezer Mission
32619609,http://trove.nla.gov.au/work/32619609,"Archaeological investigation of the former Ebenezer Mission, Victoria : stage II : report to Heritage Victoria and Aboriginal Affairs Victoria / Jane Lydon with Bruno David and Zvonkica Stanin","Ebenezer Mission, Victoria","Lydon, Jane",2007,2007,not found,not found,not found,not found,not found,0.08496252,['EBENEZER'],Ebenezer Mission
5559349,http://trove.nla.gov.au/work/5559349,An archaeological report on the Ebenezer Mission Stateion / D. Rhodes,"Ebenezer Mission, Victoria","Rhodes, D",1998,1998,not found,not found,not found,not found,not found,0.06002246,"['RHODES', 'EBENEZER']",Ebenezer Mission
20590055,http://trove.nla.gov.au/work/20590055,"Emmaus Village, Kemps Creek, NSW : Aboriginal archaeological test excavation report in accordance with Dec Section 87 Permit # 2237 & in support of an application under Section 90 of the National Parks & Wildlife Act 1974 / Jim Wheeler","Emmaus Village, Kemps Creek","Wheeler, Jim archaeologist",2005,2005,not found,not found,not found,not found,not found,0.11297807,['KEMPS CREEK'],Emmaus Village
22002993,http://trove.nla.gov.au/work/22002993,"Report on the archaeological excavation of the site of the Family Court of Australia, corner of Castlereagh and Goulburn Streets, Sydney, 1990 / E. Higginbotham","Family Court of Australia, corner of Castlereagh and Goulburn Streets, Sydney","Higginbotham, Edward A. K",1991,1991,not found,not found,not found,not found,not found,0.15399891,"['CASTLEREAGH', 'SYDNEY', 'AUSTRAL']",Family Court of Australia
20730456,http://trove.nla.gov.au/work/20730456,"Fitzroy Bridge, Windsor Road, Windsor, NSW : archaeological assessment of the Green Hills Burial Ground / [Graham Wilson and Peter Douglas]","Fitzroy Bridge, Windsor","Wilson, Graham, archaeologist",2006,2006,not found,not found,not found,not found,not found,0.07897564,['WINDSOR'],Fitzroy Bridge
6475271,http://trove.nla.gov.au/work/6475271,"Archaeological excavations on the former Australian Gas Light Company site, Haymarket, Sydney : a report for Australian Construction Services (NSW Region), Department of Administrative Services / by Rosemary Annable","former Australian Gas Light Company site, Haymarket","Annable, Rosemary",1989,1989,not found,not found,not found,not found,not found,0.046312734,"['SYDNEY', 'AUSTRAL', 'HAYMARKET']",former Australian Gas Light Company site
160036192,http://trove.nla.gov.au/work/160036192,"George Street, Parramatta, N.S.W. 1985 : report on the archaeological excavation of buildings associated with the early township / by Edward Higginbotham","Garfield Barwick Commonwealth Law Courts Building, Parramatta","Higginbotham, Edward A. K",1986,1986,not found,not found,not found,not found,not found,0.09823992,['PARRAMATTA'],Garfield Barwick Commonwealth Law Courts Building
12902132,http://trove.nla.gov.au/work/12902132,"George Street, Parramatta, N.S.W. 1985 : report on the archaeological excavation of buildings associated with the early township, 1790 to c.1820s / report prepared by Edward Higginbotham for the Commonwealth Department of Housing and Construction and Leighton Contractors Pty. Ltd","Garfield Barwick Commonwealth Law Courts Building, Parramatta","Higginbotham, Edward A. K",1986,1986,not found,not found,not found,not found,not found,0.0710394,['PARRAMATTA'],Garfield Barwick Commonwealth Law Courts Building
12904188,http://trove.nla.gov.au/work/12904188,"Report on archaeological watching brief : gateway plaza, circular quay, Sydney N.S.W","Gateway Plaza, Circular Quay","Higginbotham, E. A. K",1986,1986,not found,not found,not found,not found,not found,0.06899585,['SYDNEY'],Gateway Plaza
160035696,http://trove.nla.gov.au/work/160035696,"Report on archaeological watching brief Gateway Plaza Circular Quay Sydney, NSW / Edward Higginbotham","Gateway Plaza, Circular Quay","Higginbotham, Edward A. K",1986,1986,not found,not found,not found,not found,not found,0.04567641,['SYDNEY'],Gateway Plaza
37033321,http://trove.nla.gov.au/work/37033321,"Archaeological investigation, Government House gardens, Sydney : a report prepared for the Environmental Design Section, Public Works Department, NSW / Wendy Thorp","Government House, Sydney","Thorp, Wendy",1991,1991,not found,not found,not found,not found,not found,0.07015461,['SYDNEY'],Government House
34658790,http://trove.nla.gov.au/work/34658790,"Granville Boys High School, Granville, NSW : historical archaeological excavation report / Matthew Kelly",Granville Boys High School,"Kelly, Matthew archaeologist",2005,2005,not found,not found,not found,not found,not found,0.17518805,['GRANVILLE'],Granville Boys High School
31386347,http://trove.nla.gov.au/work/31386347,"Report on archaeological test excavation at Granville Pool, Enid Avenue, Granville, NSW / Jim Wheeler & Peter Douglas, on behalf of Parramatta City Council",Granville Pool,Parramatta (N.S.W.). Council,2004,2004,not found,not found,not found,not found,not found,0.16441986,"['PARRAMATTA', 'GRANVILLE']",Granville Pool
31385337,http://trove.nla.gov.au/work/31385337,"Historical archaeological assessment of Granville Pool re-development at Enid Avenue, Granville NSW / Jim Wheeler, Peter Douglas & Caroline Wilby, on behalf of Parramatta City Council",Granville Pool,"Wheeler, Jim archaeologist",2003,2003,not found,not found,not found,not found,not found,0.07519864,"['PARRAMATTA', 'GRANVILLE']",Granville Pool
8758343,http://trove.nla.gov.au/work/8758343,"Green Road Reserve, Kellyville, NSW : Aboriginal archaeological assessment for proposed development of a stormwater detention basin & roundabout / by Jim Wheeler & Fiona Leslie, on behalf of Baulkham Hills Shire Council","Green Road Reserve, Kellyville","Wheeler, Jim, archaeologist",2003,2003,not found,not found,not found,not found,not found,0.07804955,"['BAULKHAM HILLS', 'KELLYVILLE']",Green Road Reserve
37009624,http://trove.nla.gov.au/work/37009624,"Proposed upgrade of Helensburgh Public School, Fletcher Street, Helensburgh NSW : historical archaeological assessment / [report written by Adam Paterson and reviewed by Peter Douglas]",Helensburgh Public School,"Paterson, Adam, 1980-",2007,2007,not found,not found,not found,not found,not found,0.104683846,['HELENSBURGH'],Helensburgh Public School
8273357,http://trove.nla.gov.au/work/8273357,"Helensburgh Public School, Fletcher St, Helensburgh NSW : historical archaeologiacal assessment / Fiona Leslie & Peter Douglas",Helensburgh Public School,"Leslie, Fiona",2004,2004,not found,not found,not found,not found,not found,0.084952876,['HELENSBURGH'],Helensburgh Public School
194782240,http://trove.nla.gov.au/work/194782240,"Hungry Beach fortifications, Ku-ring-gai Chase National Park : archaeological inspections and conservation assessment / Denis Gojak","Hungry Beach fortifications, Ku-ring-gai Chase National Park","Gojak, Denis",1991,1991,not found,not found,not found,not found,not found,0.03394537,['KU-RING-GAI CHASE'],Hungry Beach fortifications
30474865,http://trove.nla.gov.au/work/30474865,"Historical archaeological assessment of the former no. 3 green - Hunters Hill Bowling Club, Hunters Hill, NSW : report prepared as part of a heritage management options study for the site / Dan Tuck & Peter Douglas, on behalf of the joint venturers  ... ..",Hunters Hill Bowling Club,"Tuck, Dan",2002,2002,not found,not found,not found,not found,not found,0.08254172,['HUNTERS HILL'],Hunters Hill Bowling Club
186351291,http://trove.nla.gov.au/work/186351291,"Historical archaeological assessment of the former No 3 Green - Hunters Hill Bowling Club, Hunters Hill, NSW. / The Joint Venturers",Hunters Hill Bowling Club,The Joint Venturers,2002,2002,not found,not found,not found,not found,not found,0.05756446,['HUNTERS HILL'],Hunters Hill Bowling Club
19405165,http://trove.nla.gov.au/work/19405165,"Archaeological investigation, CSR site, Pyrmont (Jacksons Landing) / for Lend Lease Development ; Casey & Lowe Associates","Jacksons Landing, Pyrmont",Casey & Lowe Associates,2000,2000,not found,not found,not found,not found,not found,0.07499565,['PYRMONT'],Jacksons Landing
20932414,http://trove.nla.gov.au/work/20932414,"Archaeological assessment CSR site, Pyrmont / for Howard Tanner and Associates on behalf of Civil and Civic [by] Casey & Lowe Associates","Jacksons Landing, Pyrmont",Casey & Lowe Associates,1996,1996,not found,not found,not found,not found,not found,0.04917857,['PYRMONT'],Jacksons Landing
29705102,http://trove.nla.gov.au/work/29705102,"Parramatta skate park : James Ruse Reserve, Parramatta : Aboriginal heritage impact assessment in support of a preliminary research permit application for archaeological test excavation at the site / Jim Wheeler","James Ruse Reserve, Parramatta","Wheeler, Jim, archaeologist",2004,2004,not found,not found,not found,not found,not found,0.17286506,"['RUSE', 'PARRAMATTA']",James Ruse Reserve
