project_id,Located_Title,site_name,Short_site_name,X,Y,results
507,"Grace Bros, Broadway: historical archaeological report: volume 4 - artefact inventory: areas 5 and 6B, 24 - 8 Bay Street, 1, 38-40 & rear Francis Street, 46-48 & rear 48 Francis Street","Grace Bros., Broadway Shopping Centre, Broadway, Ultimo",Grace Bros.,151.194745,-33.883171,"[['Grace Bros., Broadway Shopping Centre, Broadway, Ultimo', 'Grace Bros.']]"
540,"The Dairy Precinct, Parramatta Park, Parramatta, NSW, Australia: revised conservation plan: volume 2 appendices C-H detailed history & interviews",none found,none found,150.9941107,-33.8063599,"[['none found', 'none found']]"
541,"The Dairy Precinct, Parramatta Park, Parramatta, NSW, Australia: revised conservation plan: Volume 3: appendices I-J maps, plans, illustrations & documents",none found,none found,150.9941107,-33.8063599,"[['none found', 'none found']]"
542,"The Dairy Precinct, Parramatta Park, Parramatta, NSW, Australia: revised conservation plan: volume 4: appendices K-O archaeology, landscape & research reports",none found,none found,150.9941107,-33.8063599,"[['none found', 'none found']]"
548,"The Dairy Precinct, Parramatta Park, Parramatta, NSW. Revised Conservation Plan, Volume 1. Conservation Analysis and Conservation Policy.",none found,none found,150.9941107,-33.8063599,"[['none found', 'none found']]"
549,The Dairy Precinct Parramatta Park Revised Conservation Plan. Appendices C-H Detailed Histories and Interviews. Second Draft Vol 2.,none found,none found,150.9941107,-33.8063599,"[['none found', 'none found']]"
550,"The Dairy Precinct Parramatta Park Revised Conservation Plan. Appendices I-J Maps, Plans, Illustrations and Documents. Vol 3.",none found,none found,150.9941107,-33.8063599,"[['none found', 'none found']]"
551,"The Dairy Precinct Parramatta Park Revised Conservation Plan. Appendices K-O Archaeology, Landscape and Research Reports. Vol 4.",none found,none found,150.9941107,-33.8063599,"[['none found', 'none found']]"
552,The Dairy Precinct Parramatta Park Revised Conservation Plan. Conservation Analysis and Conservation Policy. Third Draft Vol 1.,none found,none found,150.9941107,-33.8063599,"[['none found', 'none found']]"
557,"Archaeological testing 241-277 Rose Street Darlington Campus, University of Sydney for the University of Sydney","Darlington Campus, University of Sydney",Darlington Campus,151.1907409,-33.8917449,"[['Darlington Campus, University of Sydney', 'Darlington Campus'], ['University of Sydney', 'University of Sydney']]"
558,"Park Lodge, 9-10 The Park, Parramatta (13-21 Good Street, Westmead): an archaeological assessment of aboveground and belowground remains",none found,none found,150.9916366,-33.8083378,"[['none found', 'none found']]"
559,"An archaeological assessment of the potential heritage significance of the Post Office and C.W.A. of NSW sites, (Allotments 3 & 4 of Section 11, Horton Street): 17 & 19 Horton Street, Port Macquarie, NSW",none found,none found,152.9075114,-31.4288659,"[['none found', 'none found']]"
560,"Baseline archaeological assessment: 37 Campbell Street, Parramatta, NSW",none found,none found,151.0024137,-33.8191189,"[['none found', 'none found']]"
561,"The archaeological investigation of 63-65 Kirribilli Avenue, Kirribilli: report to Bruce Swalwell Architects",none found,none found,151.2152561,-33.8498055,"[['none found', 'none found']]"
562,Historical archaeological assessment of the former site of 'Castlefield House' at 24-26 Imperial Avenue Bondi NSW,none found,none found,151.266671,-33.89367449,"[['none found', 'none found']]"
563,"Archaeological assessment: 1-9 Albion Place, 518-534 Kent Street, 531-551 George Street, Sydney","Albion Place, Sydney",Albion Place,151.2058139,-33.8755366,"[['Albion Place, Sydney', 'Albion Place']]"
564,"Historical and archaeological assessment or proposed development 11-11A Bigge & 35-39 Lachlan Street, Liverpool, NSW",none found,none found,150.9277564,-33.91564697,"[['none found', 'none found']]"
565,"Chief Secretary's Building 121 Macquarie Street, Sydney: conservation management plan",none found,none found,151.2124793,-33.86382213,"[['none found', 'none found']]"
599,"Yasmar Juvenile Justice Centre, 183-185 Parramatta Rd., Haberfield :  conservation management plan",none found,none found,151.133265,-33.88178194,"[['none found', 'none found']]"
601,"Archaeological assessment report 33-35 Hunter Street Parramatta, NSW: Report prepared in support of an application for an archaeological excavation permit under S.139 of the NSW Heritage Act, 1997.",none found,none found,151.0002252,-33.81567712,"[['none found', 'none found']]"
602,Excavation permit application 180-180A George Street & 30-32 Charles Street Parramatta,none found,none found,151.0097782,-33.81439785,"[['none found', 'none found']]"
603,"Archaeological assessment and research design 72 Phillip Street, Parramatta","72 Phillip Street, Parramatta",72 Phillip Street,151.0084563,-33.8128591,"[['72 Phillip Street, Parramatta', '72 Phillip Street']]"
604,Archaeological test excavations: former MWS&DB depot 72 Phillip Street Parramatta NSW,"72 Phillip Street, Parramatta",72 Phillip Street,151.0084563,-33.8128591,"[['72 Phillip Street, Parramatta', '72 Phillip Street']]"
605,"Archaeological assessment, research design & excavation methodology for investigations at 101 Marsden Street Parramatta NSW",none found,none found,151.0031033,-33.81142891,"[['none found', 'none found']]"
607,"Historical and archaeological assessment of the site of the proposed officeworks superstore, 41-53 George Street, Parramatta, NSW",none found,none found,151.0042441,-33.81415075,"[['none found', 'none found']]"
608,"Historical and archaeological assessment of St George's terrace, 44-56 Phillip Street, Parramatta, NSW",none found,none found,151.0064887,-33.81267377,"[['none found', 'none found']]"
610,Archaeological assessment 14-18 Alfred street Granville NSW,"Alfred Street, Circular Quay",Alfred Street,151.0147111,-33.83085326,"[['Alfred Street, Circular Quay', 'Alfred Street']]"
611,"Archaeological assessment St Helens development 732 Harris Street, 849-855 George Street, Broadway",none found,none found,151.2023379,-33.8835635,"[['none found', 'none found']]"
612,"Legacy House, formerly Dangar Chambers 45 Bolton Street Newcastle NSW: Archaeological assessment, research design & excavation methodology",none found,none found,151.7830604,-32.92897817,"[['none found', 'none found']]"
617,126 Phillip Street development site: archaeological excavation report,none found,none found,151.211639,-33.866861,"[['none found', 'none found']]"
619,"Archaeological excavation report: 1 Hunter Street, Parramatta NSW",none found,none found,150.9978618,-33.81512119,"[['none found', 'none found']]"
620,"Historical and archaeological assessment report for the proposed KFC restaurant, 26-30 Bosworth Street at March Street, Richmond, NSW",none found,none found,150.7475932,-33.59656041,"[['none found', 'none found']]"
623,No. 1 Nelson Street Gordon: Conservation management plan,none found,none found,151.1577381,-33.75593406,"[['none found', 'none found']]"
624,"Archaeological and heritage recording ""Sheoks"" 1927-1931 Pittwater Road, Bayview, NSW",none found,none found,151.2979593,-33.6606291,"[['none found', 'none found']]"
626,"Report on the archaeological excavation of Smelter no. 1, Old Cadia Road, Cadia, NSW",none found,none found,149.0229601,-33.457287,"[['none found', 'none found']]"
628,180-182 Cope Street Waterloo Sydney: Archaeological excavation permit exception application,none found,none found,151.2007707,-33.89917671,"[['none found', 'none found']]"
630,"Historical archaeological test excavations & monitoring programme. Lot 7 - 49 Lachlan Street and Lot 5 - 50 Macquarie Street, Liverpool, NSW: Research design",none found,none found,150.9314947,-33.91608405,"[['none found', 'none found']]"
631,RH/39 Windsor Road Rouse Hill: Archaeological assessment and research design,Rouse Hill,Rouse Hill,150.9636678,-33.7191141,"[['Rouse Hill', 'Rouse Hill']]"
636,55-57 Park Road site of Burwood House (Villa) Burwood NSW: Archaeological test excavation report & s140 permit application,"Park Road, Wallacia",Park Road,151.100656,-33.87259656,"[['Park Road, Wallacia', 'Park Road']]"
637,38 Hunter Street Parramatta NSW: Archaeological assessment report and research design for proposed monitoring and recording of minor works at the site,none found,none found,151.0023239,-33.8153171,"[['none found', 'none found']]"
638,15a Dickson Street Newtown: Section 140 archaeological excavation permit application for archaeological monitoring,none found,none found,151.1793767,-33.90461492,"[['none found', 'none found']]"
639,15a Dickson Street Newtown Sydney: Archaeological assessment,none found,none found,151.1793767,-33.90461492,"[['none found', 'none found']]"
640,109-113 George Street Parramatta: Archaeological testing,none found,none found,151.0102149,-33.8156169,"[['none found', 'none found']]"
641,"Bella Vista Farm Park (SHR 754) 'Sheep Dip' adjoining Building N 'Packing Shed"" (N-11-12). 2 Elizabeth Macarthur Drive Bella Vista NSW: Archaeological assessment, heritage impact statement, research design & excavation methodology",none found,none found,150.951755,-33.74286134,"[['none found', 'none found']]"
643,"2-4, 4A (6A) and 12 Cunningham Street Haymarket: Research design - archaeological testing",none found,none found,151.2060452,-33.8332305,"[['none found', 'none found']]"
644,"2-4, 4A (6A) and 12 Cunningham Street Haymarket: Archaeological assessment",none found,none found,151.2060452,-33.8332305,"[['none found', 'none found']]"
645,"Conservation management plan & heritage impact statement for a proposed residence at ""Koombahla"" 429 Galston Rd. Dural, NSW",none found,none found,151.0386102,-33.66796699,"[['none found', 'none found']]"
646,"Archaeological survey and assessment of Mount St Mary's college & convent (aka the Renaissance Centre) 10-14 Civic Place, Katoomba",none found,none found,150.314254,-33.7099657,"[['none found', 'none found']]"
647,"110-122 Avoca Street, Randwick, Sydney, NSW: Archaeological research design & excavation methodology in support of a Section 140 excavation permit application",none found,none found,151.24188,-33.9133649,"[['none found', 'none found']]"
648,6-10 Wattle Street Pyrmont NSW: Baseline archaeological assessment,none found,none found,151.1930177,-33.87405686,"[['none found', 'none found']]"
650,"8B Missenden Road, Camperdown: Archaeological assessment",none found,none found,151.1806718,-33.8870749,"[['none found', 'none found']]"
652,"Report on the archaeological excavation and monitoring programme during construction works at the Bushell's Building, 121-127 Harrington Street, The Rocks, NSW",none found,none found,151.2065469,-33.8623055,"[['none found', 'none found']]"
654,"Report on archaeological test-excavation prior to proposed development, 150 Lodges Road, Elderslie, NSW",none found,none found,150.7220722,-34.0550401,"[['none found', 'none found']]"
655,55-57 Park Road site of Burwood House Burwood NSW: Archaeological assessment research design & excavation methodology,"Park Road, Wallacia",Park Road,151.100656,-33.87259656,"[['Park Road, Wallacia', 'Park Road']]"
658,"142-148 Goulburn Street, Surry Hills: historic archaeological assessment",none found,none found,151.2118657,-33.8783114,"[['none found', 'none found']]"
660,"Report on archaeological test-trench on the site of the southern cross tower, 35-45 Wentworth Avenue, Sydney, NSW",none found,none found,151.2101175,-33.87875099,"[['none found', 'none found']]"
661,A significance assessment and inventory of twelve heritage items in the Wollongong area,none found,none found,150.9115051,-34.34280023,"[['none found', 'none found']]"
662,38 Hunter Street Parramatta NSW: report on archaeological monitoring of excavation at the site,none found,none found,151.0023239,-33.8153171,"[['none found', 'none found']]"
663,"76-88 Crown Street, Woolloomooloo: Archaeological assessment and research design",none found,none found,151.2168449,-33.87314833,"[['none found', 'none found']]"
664,13 Grose St. North Parramatta NSW: historical archaeological & development impact assessment,none found,none found,151.003649,-33.80669843,"[['none found', 'none found']]"
665,48 Station Street east Harris Park: historical archaeological & development impact assessment,none found,none found,151.0081394,-33.82054943,"[['none found', 'none found']]"
666,"Report on the archaeological monitoring programme of 85-91 Goulburn Street, Sydney, NSW",none found,none found,151.2070502,-33.87845213,"[['none found', 'none found']]"
667,"Historical and archaeological assessment of proposed development, 138-140 Church Street, Parramatta, NSW",none found,none found,151.0039909,-33.8178456,"[['none found', 'none found']]"
668,17-19 Hassall St Harris Park NSW: Historical archaeological & development impact assessment,none found,none found,151.0091424,-33.81804458,"[['none found', 'none found']]"
673,Archaeological assessment 61-79 Sussex Street Sydney City,none found,none found,151.2031995,-33.867519,"[['none found', 'none found']]"
674,St Stephen's uniting church 197 Macquarie Street Sydney 2000: Conservation Management Plan,none found,none found,151.2119789,-33.86733257,"[['none found', 'none found']]"
676,"Conservation plan for the Oddfellows Arms inn, 541 Church Street North Parramatta",none found,none found,151.0032848,-33.799354,"[['none found', 'none found']]"
677,"Research design sub-surface investigation of the historical archaeology of lots 21 and 22 Honeysuckle Drive, Newcastle, NSW",none found,none found,151.7665264,-32.92637507,"[['none found', 'none found']]"
678,Archaeological assessment 420-426 Pitt Street and 36-38 Campbell Street Sydney City,none found,none found,151.2074742,-33.8791463,"[['none found', 'none found']]"
680,1927-1931 Pittwater Road Bayview NSW: historical archaeological assessment including a research design and excavation methodology for proposed investigations at the site,none found,none found,151.2979593,-33.6606291,"[['none found', 'none found']]"
681,Archaeological assessment 180-180A George Street & 30-32 Charles Street Parramatta,none found,none found,151.0097782,-33.81439785,"[['none found', 'none found']]"
682,"Report on the archaeological excavation of the building materials dump associates with the 1908 restoration of Old Government House, Parramatta, NSW","Government House, Sydney",Government House,150.997327,-33.812149,"[['Government House, Sydney', 'Government House'], ['Old Government House, Parramatta', 'Old Government House']]"
686,"Archaeological investigations at site of 1a High St Millers Point: part of former AGL site, 30-38 Hickson Road Sydney","Hickson Road, The Rocks",Hickson Road,151.2032207,-33.85967403,"[['Hickson Road, The Rocks', 'Hickson Road']]"
687,Former AGL site 38 Hickson Road Sydney rock shelf at rear: Archaeological recording and excavation,"Hickson Road, The Rocks",Hickson Road,151.2032294,-33.86276635,"[['Hickson Road, The Rocks', 'Hickson Road']]"
688,"13-15 Market Place, Berrima: archaeological assessment and excavation permit application",none found,none found,150.3347151,-34.4913104,"[['none found', 'none found']]"
690,Vulcan hotel 494-500 Wattle Street Ultimo NSW: historical archaeological assessment including a research design for archaeological monitoring & recording at the site,none found,none found,151.1975333,-33.8817346,"[['none found', 'none found']]"
691,"23-39 North Street, Windsor: Archaeological assessment",none found,none found,150.8268296,-33.60420206,"[['none found', 'none found']]"
692,37 Terminus Street Liverpool: Archaeological assessment,none found,none found,150.9244889,-33.92542572,"[['none found', 'none found']]"
693,37 Terminus Street Liverpool: research design,none found,none found,150.9244889,-33.92542572,"[['none found', 'none found']]"
695,"23 Lambert Street including portions of the former Bligh Estate, Camperdown NSW: archaeological assessment, research design and excavation methodology, mitigation strategy and statement of heritage impact",none found,none found,151.1781017,-33.88552391,"[['none found', 'none found']]"
697,200 Hunter Street Newcastle: section 140 permit application,none found,none found,151.7795318,-32.9264716,"[['none found', 'none found']]"
698,"20 Redback Road including portions of the former Government Domain, Northmead NSW: archaeological assessment, research design, excavation methodology and statement of heritage impact",none found,none found,150.9913116,-33.7973953,"[['none found', 'none found']]"
699,"The assessment of the heritage sensitivity of property in the vicinity of a known heritage site ('Struggletown') Lot 42, DP 575399 Homedale Road, Kew, Mid North Coast, NSW",none found,none found,151.0391821,-33.9316851,"[['none found', 'none found']]"
700,"Pepperina, formerly The Bowery, 37 Bolton Street, Newcastle NSW: archaeological assessment, research design and excavation methodology",none found,none found,151.7831649,-32.92841475,"[['none found', 'none found']]"
701,"Kendall House, including portions of Brown's allotment, 22-24 Pitt Street, Parramatta, NSW: archaeological assessment, research design excavation methodology and statement of heritage impact",none found,none found,150.9974049,-33.81680497,"[['none found', 'none found']]"
703,"The archaeological monitoring of earthworks on the site of a proposed residential development at lot 3, DP 667387, No. 34 Murray Street, Port Macquarie, NSW",none found,none found,152.9114432,-31.43254071,"[['none found', 'none found']]"
704,Norfolk House 467-469 Church Street Parramatta: conservation management plan,none found,none found,151.0052994,-33.8031687,"[['none found', 'none found']]"
705,109-113 George Street Parramatta: Preliminary results archaeological excavation program,none found,none found,151.0102149,-33.8156169,"[['none found', 'none found']]"
706,1927-1931 Pittwater Road Bayview NSW: interim report on historical archaeological investigations at the site,none found,none found,151.2979593,-33.6606291,"[['none found', 'none found']]"
707,"Non-indigenous archaeological assessment and research design: stages 2 & 3 Main Road reconstruction, Boolaroo/Speers Point, NSW",none found,none found,151.6231486,-32.9494619,"[['none found', 'none found']]"
708,"1 Alan Street, Rydalmere: Archaeological assessment and statement of heritage impact",none found,none found,151.0296117,-33.8153112,"[['none found', 'none found']]"
711,"24 Hunter Street Parramatta, NSW: historical archaeological impact assessment and test excavation methodology",none found,none found,151.0005571,-33.81525756,"[['none found', 'none found']]"
715,"48 Olola Avenue formerly a portion of the Wentworth Estate Vaucluse NSW: archaeological assessment, research design, test excavation methodology and heritage impact statement",none found,none found,151.2746855,-33.8557767,"[['none found', 'none found']]"
718,Archaeological assessment and testing report 180-180A George Street & 30-32 Charles Street Parramatta,none found,none found,151.0097782,-33.81439785,"[['none found', 'none found']]"
721,50 Botany Street Telstra site Bondi Junction NSW: exception notification s139(4) Heritage Act NSW 1977 and supporting documentation,none found,none found,151.2539234,-33.89609638,"[['none found', 'none found']]"
722,95-101 George Street Parramatta: archaeological assessment,none found,none found,151.0087596,-33.81519469,"[['none found', 'none found']]"
723,Toll Bar house 167 Great Western Highway Mount Victoria NSW 2786: Conservation management plan,none found,none found,150.2611139,-33.5944107,"[['none found', 'none found']]"
724,"Historical archaeological & development impact assessment report for Empire Hotel site & adjacent allotments 643-651 Hunter Street, Newcastle West, NSW",none found,none found,151.7636251,-32.9270359,"[['none found', 'none found']]"
725,"Archaeological investigation non-indigenous archaeology 1 Smith Street, Parramatta",none found,none found,151.0054677,-33.81684626,"[['none found', 'none found']]"
726,"Ashton, 102 Elizabeth Bay Road, Elizabeth Bay: Conservation management plan",none found,none found,151.2297173,-33.87108913,"[['none found', 'none found']]"
728,"Historical archaeological & development impact assessment report for the Palais Royale site 684 Hunter Street Newcastle West, NSW",none found,none found,151.7637592,-32.9264627,"[['none found', 'none found']]"
730,"Conservation management plan for Hampden Villa 110 Berry Street, Nowra",none found,none found,150.5995358,-34.8815925,"[['none found', 'none found']]"
732,"Report on the archaeological investigation of the proposed KFC restaurant, 26-30 Bosworth Street at March Street, Richmond, NSW",none found,none found,150.7475932,-33.59656041,"[['none found', 'none found']]"
733,"Archaeological monitoring of remediation works at Lot 22 Honeysuckle Drive, Newcastle, NSW",none found,none found,151.7665264,-32.92637507,"[['none found', 'none found']]"
734,Vulcan hotel 494-500 Wattle Street Ultimo NSW: historical archaeological excavation report,none found,none found,151.1975333,-33.8817346,"[['none found', 'none found']]"
735,"330 - 346 George Street, Sydney: revised archaeological assessment and statement of heritage impact",none found,none found,151.2074597,-33.86662344,"[['none found', 'none found']]"
736,73 O'Connell Street North Parramatta: a research design & excavation methodology for proposed historical archaeological test excavation at the site,none found,none found,150.9999314,-33.7973615,"[['none found', 'none found']]"
740,Park Central: 430-450 Pitt Street: archaeological research design,none found,none found,151.2074634,-33.8792774,"[['none found', 'none found']]"
741,"16-18 Brunswick Parade, Ashfield: archaeological assessment",none found,none found,151.1196703,-33.8933605,"[['none found', 'none found']]"
742,"3-5 Stewart St, Port Macquarie, part of the site of the former Port Macquarie Gaol, Port Macquarie NSW: Archaeological assessment, research design, test excavation methodology & heritage impact statement",none found,none found,152.9163304,-31.42967779,"[['none found', 'none found']]"
743,"Archaeological investigations at 197 Denison Street, Hamilton, Newcastle",none found,none found,151.7406681,-32.92554956,"[['none found', 'none found']]"
744,"Recording of early twentieth century baker's ovens: 85 Great Western Highway, Leura, NSW",none found,none found,150.3300898,-33.7101972,"[['none found', 'none found']]"
746,65-79 Sussex Street Sydney: report on archaeological monitoring works,none found,none found,151.2032038,-33.86756563,"[['none found', 'none found']]"
749,"Newington College Stanmore (no 200-248 Stanmore Rd, Stanmore): application for an exception under Section 139(4) NSW Heritage Act. [Variant title:Archaeological assessment and exception application, Newington College, Stanmore, NSW]","Newington College, Stanmore",Newington College,151.1631472,-33.8980016,"[['Newington College, Stanmore', 'Newington College']]"
750,"Report on the archaeological excavation of 50, 50A & 52 O'Connell and 6-12 Grose Street, North Parramatta, NSW",none found,none found,151.003032,-33.8060336,"[['none found', 'none found']]"
751,"Excavation report The officers' quarters and Boland's Inn, 8-9 Ferguson Road, Springwood NSW",none found,none found,150.5612263,-33.70028231,"[['none found', 'none found']]"
752,"69 Alice Street, Harris Park, NSW formerly part of Elizabeth Park: baseline archaeological assessment",none found,none found,151.1770091,-33.9034487,"[['none found', 'none found']]"
753,1927-1931 Pittwater Road Bayview NSW: historical archaeological investigation at the site of World War 2 machine gun emplacement & defensive position above Bayview,none found,none found,151.2979593,-33.6606291,"[['none found', 'none found']]"
756,"Bellevue, 55-57 Leichhardt Street, Glebe: Conservation management plan",none found,none found,151.1846267,-33.87119652,"[['none found', 'none found']]"
757,"738 Hunter Street, former Bellevue Hotel, Newcastle: archaeological assessment, research design, test excavation methodology and heritage impact statement",none found,none found,151.7621477,-32.9260858,"[['none found', 'none found']]"
758,"150 Marsden Street Parramatta: archaeological assessment, statement of heritage impact and research design",none found,none found,151.0017703,-33.81378463,"[['none found', 'none found']]"
759,"2 Waratah Road, Berowra NSW: archaeological assessment, research design, excavation methodology and statement of heritage impact",none found,none found,151.1475588,-33.6266156,"[['none found', 'none found']]"
760,"320-328 George Street, Sydney, NSW, including part of the Tank Stream curtilage (SHR 636): archaeological assessment, research design, test excavation methodology and heritage impact statement",none found,none found,151.2076574,-33.8663179,"[['none found', 'none found']]"
761,"154 Swan Street, Morpeth, NSW: section 140 permit application",none found,none found,151.6250663,-32.7247159,"[['none found', 'none found']]"
765,"3 Campbell Street formerly a portion of the Parsonage Grounds, Parramatta NSW",none found,none found,150.9971376,-33.8178252,"[['none found', 'none found']]"
766,"Bathurst base hospital 361 Howick Street Bathurst, NSW: historical archaeological impact assessment & research design",none found,none found,149.5722696,-33.40618515,"[['none found', 'none found']]"
767,Kentwell cottage 244 Old Northern Road Castle Hill: conservation management plan,"Old Northern Road, Maroota",Old Northern Road,151.0023037,-33.73511843,"[['Old Northern Road, Maroota', 'Old Northern Road']]"
768,Review of conservation management plan and reporting for 244 Old Northern Road Castle Hill (Kentwell cottage),"Old Northern Road, Maroota",Old Northern Road,151.0023037,-33.73511843,"[['Old Northern Road, Maroota', 'Old Northern Road']]"
769,"36 Banks Street East Maitland, NSW: conservation management plan",none found,none found,151.5840278,-32.74763503,"[['none found', 'none found']]"
770,115-117 Byng Street (Lot 1 DP780817 & Lot 1 DP780818) Orange NSW: Historical archaeological impact assessment and research design,none found,none found,149.0998954,-33.28117382,"[['none found', 'none found']]"
772,"Argyle Stores 12-20 Argyle Street, The Rocks: conservation management plan",none found,none found,151.2078562,-33.8587025,"[['none found', 'none found']]"
773,"Unwin's Stores 77-85 George Street, The Rocks: conservation management plan",none found,none found,151.208737,-33.8589654,"[['none found', 'none found']]"
774,"Heritage impact statement on archaeological remains 33 Vista Parade, Kotara",none found,none found,151.7004403,-32.9494269,"[['none found', 'none found']]"
776,"59-63 Grose St, North Parramatta, NSW: historical archaeological and development impact assessment",none found,none found,151.0107321,-33.8076159,"[['none found', 'none found']]"
778,6 Sorrell Street Parramatta: baseline archaeological assessment,none found,none found,151.006951,-33.8106308,"[['none found', 'none found']]"
780,"St Mary's convent 49 Gordon Street, Paddington: archaeological assessment",none found,none found,151.2305922,-33.88889746,"[['none found', 'none found']]"
782,Archaeological assessment of the retaining walls 21 Brown Street Newcastle,none found,none found,151.7776034,-32.92812879,"[['none found', 'none found']]"
783,"102 Northwood Road, Northwood, Sydney: Archaeological excavation permit exception application",none found,none found,151.1786448,-33.83108798,"[['none found', 'none found']]"
784,"41-49 Mountain Street Ultimo, NSW: archaeological assessment and research design",none found,none found,151.1959033,-33.883053,"[['none found', 'none found']]"
785,"Portions of the former Port Macquarie gaol 3-5 Stewart Street, Port Macquarie, NSW: Interpretation strategy and methodolgy imitative reconstruction",none found,none found,152.9163304,-31.42967779,"[['none found', 'none found']]"
786,29 North Street Windsor NSW: archaeological assessment and exemption notification,none found,none found,150.8264449,-33.60439886,"[['none found', 'none found']]"
787,"Archaeological survey report of alterations and additions to St Benedicts primary school, 840 Main Road, Edgeworth",none found,none found,153.065696,-29.1321686,"[['none found', 'none found']]"
789,Conservation management plan waterview wharf workshops at 37 Nicholson Street Balmain NSW 2041,none found,none found,151.1924813,-33.85501502,"[['none found', 'none found']]"
790,"Historical and archaeological assessment of Kentwell cottage, 244 Old Northern Road Castle Hill, NSW","Old Northern Road, Maroota",Old Northern Road,151.0023037,-33.73511843,"[['Old Northern Road, Maroota', 'Old Northern Road']]"
