TroveID,troveUrl,title,contributor,issued,year,abstract,subjects,URLs,ExternalURL_1,ExternalURL_1_type,relevanceScore,Address_export,Verified_Address,Longitude,Latitude,Location_Confidence
32772736,http://trove.nla.gov.au/work/32772736,"[Archaeological investigations at 30 Elizabeth St, North Parramatta : report on assessment of underfloor deposits in the cottage & test excavation of the detached kitchen & cess pit site / on behalf of RTH Design & Construction Pty Ltd",not found,1999,1999,not found,not found,not found,not found,not found,0.17807737,"30 ELIZABETH ST, NORTH PARRAMATTA, NSW","30 Elizabeth St, Parramatta NSW 2150, Australia",151.0096819,-33.80943,Great - Google
9457926,http://trove.nla.gov.au/work/9457926,"Historical archaeological assessment research design & excavation methodology for proposed investigations at 1927-1931 Pittwater Rd., Bayview NSW / Peter Douglas, Fiona Leslie & Denis Gojak","Douglas, Peter, archaeologist",2004,2004,not found,not found,not found,not found,not found,0.17277452,"1927-1931 PITTWATER RD, BAYVIEW, NSW","1927-1931 Pittwater Rd, Bayview NSW 2104, Australia",151.2979568,-33.660667,Great - Google
234306738,http://trove.nla.gov.au/work/234306738,"Albury Regional Art Gallery : 546-556 Dean Street, Albury, NSW. Historical archaeology excavation report","Myers, Sarah",2017,2017,not found,not found,not found,not found,not found,0.16390623,"546-556 DEAN STREET, ALBURY, NSW","546 Dean St, Albury NSW 2640, Australia",146.9167774,-36.0805494,Great - Google
34304800,http://trove.nla.gov.au/work/34304800,"24 Hunter Street, Parramatta, NSW : historical archaeological impact assessment & test excavation methodology / Fiona Leslie & Peter Douglas","Leslie, Fiona",2004,2004,not found,not found,not found,not found,not found,0.16046873,"24 HUNTER STREET, PARRAMATTA, NSW","24 Hunter St, Parramatta NSW 2150, Australia",151.0005631,-33.8152787,Great - Google
171535487,http://trove.nla.gov.au/work/171535487,"Archaeological assessment, research design & excavation methodology : portions of Dillin Goldingham Allotments, 73-77 King Street, Newcastle N.S.W. / Martin Carney, Fenella Atkinson & Julie Cox, Archaeological Management & Consulting Group for Noel Investments","Carney, Martin D",2003,2003,not found,not found,not found,not found,not found,0.15873253,"73-77 KING STREET, Sydney, NSW","73 King St, Sydney NSW 2000, Australia",151.2062624,-33.8686996,Great - Google
172505447,http://trove.nla.gov.au/work/172505447,"Archaeological assessment, research design & excavation methodology : Legacy House, formerly Dangar Chambers, 45 Bolton Street, Newcastle N.S.W. / Martin Carney, Fenella Atkinson & Julie Cox, Archaeological Management & Consulting Group for Stephen Edwards Constructions Pty Ltd","Carney, Martin D",2003,2003,not found,not found,not found,not found,not found,0.15873253,"45 BOLTON STREET, NEWCASTLE, NSW","45 Bolton St, Newcastle NSW 2300, Australia",151.7829226,-32.9289026,Great - Google
169681936,http://trove.nla.gov.au/work/169681936,"Archaeological assessment, research design, methodology, and excavation permit application : part of the Eastwood Brickyards site, 37 Midson Road, Eastwood, NSW / Ivana Vetta and Fenella Atkinson ; Archaeological Managment & Consulting Group","Vetta, Ivana",2007,2007,not found,not found,not found,not found,not found,0.15528023,"37 MIDSON ROAD, EASTWOOD, NSW","37 Midson Rd, Eastwood NSW 2122, Australia",151.0739662,-33.7839777,Great - Google
169210601,http://trove.nla.gov.au/work/169210601,"Archaelogical excavation report : 1 Hunter Street, Parramatta NSW / Martin D. Carney & Fenella Atkinson ; Archaeological Managment & Consulting Group","Carney, Martin D",2002,2002,not found,not found,not found,not found,not found,0.147683,"1 HUNTER STREET, PARRAMATTA, NSW","1 Hunter St, Parramatta NSW 2150, Australia",150.9978815,-33.815093,Great - Google
8758602,http://trove.nla.gov.au/work/8758602,"'Sheoks' 1927-1931 Pittwater Rd., Bayview, NSW : Aboriginal heritage impact assessment in support of a preliminary research permit application for archaeological test excavation at the site / by Jim Wheeler","Wheeler, Jim archaeologist",2004,2004,not found,not found,not found,not found,not found,0.14438283,"1927-1931 PITTWATER RD, BAYVIEW, NSW","1927-1931 Pittwater Rd, Bayview NSW 2104, Australia",151.2979568,-33.660667,Great - Google
22001970,http://trove.nla.gov.au/work/22001970,"Report on the archaeological excavation of 79 George Street, Parramatta, NSW, 1989 / E. Higginbotham for C. H. Webb Bros","Higginbotham, Edward A. K",1990,1990,not found,not found,not found,not found,not found,0.14096183,"79 GEORGE STREET, PARRAMATTA, NSW","79 George St, Parramatta NSW 2150, Australia",151.0068852,-33.8147645,Great - Google
8184783,http://trove.nla.gov.au/work/8184783,"Riverwalk development : 710 Hunter Street Newcastle NSW, Aboriginal heritage impact assessment : a heritage impact permit application for archaeological salvage excavation at the site / Jim Wheeler & Peter Douglas","Wheeler, Jim archaeologist",2004,2004,not found,not found,not found,not found,not found,0.14063454,"710 HUNTER STREET, NEWCASTLE, NSW","710 Hunter St, Newcastle West NSW 2302, Australia",151.7625964,-32.9260705,Great - Google
228440523,http://trove.nla.gov.au/work/228440523,"Interim report on historical archaeological investigation of land at 1927-1931 Pittwater Rd., Bayview, NSW / Peter Douglas on behalf of Urban Traders Pty Ltd","Douglas, Peter",2004,2004,not found,not found,not found,not found,not found,0.14045644,"1927-1931 PITTWATER RD, BAYVIEW, NSW","1927-1931 Pittwater Rd, Bayview NSW 2104, Australia",151.2979568,-33.660667,Great - Google
30486738,http://trove.nla.gov.au/work/30486738,"Archaeological investigations at 354-356 Church St., Parramatta : (1A Palmer St., Parramatta) / Peter Douglas, on behalf of Komodo Holdings Prty Ltd","Douglas, Peter archaeologist",2002,2002,not found,not found,not found,not found,not found,0.13896577,"354-356 CHURCH ST, PARRAMATTA, NSW","354 Church St, Parramatta NSW 2150, Australia",151.0054636,-33.8098119,Great - Google
30486319,http://trove.nla.gov.au/work/30486319,"101 Marsden St., Parramatta NSW : historical archaeological test excavation report and a research design & excavation methodology for additional investigations proposed at the site / Dan Tuck & Peter Douglas, on behalf of Baulkham Hills Apartments Pty Ltd","Tuck, Dan",2002,2002,not found,not found,not found,not found,not found,0.13417216,"101 MARSDEN ST, BAULKHAM HILLS, NSW","101 Marsden St, Parramatta NSW 2150, Australia",151.0031033,-33.8114289,Great - Google
8184360,http://trove.nla.gov.au/work/8184360,"Historical archaeological & development impact assessment report for 710 Hunter St., Newcastle NSW : former Honeysuckle Presbyterian Cemetery (1841-1881) : report prepared to address condition 3.12 attached to development application for proposed construction at the site / Peter Douglas & Graham Wilson","Douglas, Peter archaeologist",2004,2004,not found,not found,not found,not found,not found,0.13284701,"710 HUNTER ST, NEWCASTLE, NSW","710 Hunter St, Newcastle West NSW 2302, Australia",151.7625964,-32.9260705,Great - Google
169926591,http://trove.nla.gov.au/work/169926591,"Archaeological assessment, research design, test excavation methodology and heritage impact statement : 48 Olola Avenue, formerly a portion of the Wentworth Estate, Vaucluse, NSW / Martin Carney and Fenella Atkinson; Archaeological Managment & Consulting Group","Carney, Martin",2005,2005,not found,not found,not found,not found,not found,0.12863344,"48 OLOLA AVENUE, VAUCLUSE, NSW","48 Olola Ave, Vaucluse NSW 2030, Australia",151.2746876,-33.8557687,Great - Google
20932523,http://trove.nla.gov.au/work/20932523,Baseline archaeological assessment report : 62 Hassall Street Parramatta NSW / Martin D. Carney Archaeological Management & Consulting Group Pty. Ltd. for Idex Design Pty. Limited,Martin D. Carney Archaeological Management & Consulting Group,1999,1999,not found,not found,not found,not found,not found,0.12678245,"62 HASSALL STREET, PARRAMATTA, NSW","62 Hassall St, Parramatta NSW 2150, Australia",151.0154574,-33.8181388,Great - Google
186335120,http://trove.nla.gov.au/work/186335120,"Archaeological assessment, research design, methodology and excavation permit application : Part of the Eastwood Brickyards site, 37 Midson Road, Eastwood, N.S.W. / Archaeological Management & Consulting Group Pty Ltd",Archaeological Management & Consulting Group,2007,2007,not found,not found,not found,not found,not found,0.12608036,"37 MIDSON ROAD, EASTWOOD, NSW","37 Midson Rd, Eastwood NSW 2122, Australia",151.0739662,-33.7839777,Great - Google
8612318,http://trove.nla.gov.au/work/8612318,"Archaeological monitoring report on the re-excavation of a 1925 service trench crossing the former Parramatta Native Institution site, 38 Hunter St, Parramatta NSW / Peter Douglas, Jim Wheeler & Dan Tuck, on behalf of St. Johns Parramatta Endowment Fund","Douglas, Peter archaeologist",2004,2004,not found,not found,not found,not found,not found,0.12560676,"1925 SERVICE TRENCH CROSSING, PARRAMATTA, NSW","27-31 Argyle St, Parramatta NSW 2150, Australia",150.999742,-33.8164961,Great - Google
8184274,http://trove.nla.gov.au/work/8184274,"Historical archaeological & development impact assessment report for 13 Grose St., North Parramatta NSW : report prepared to support a development application for proposed construction at the site / Fiona Leslie ... [et al.]","Leslie, Fiona",2004,2004,not found,not found,not found,not found,not found,0.12480281,"13 GROSE ST, NORTH PARRAMATTA, NSW","13 Grose St, Parramatta NSW 2150, Australia",151.0036793,-33.806614,Great - Google
32184513,http://trove.nla.gov.au/work/32184513,"'Mountjoy' 85 Victoria Street, Ashfield, NSW : archaeological & development impact assessment report / Cosmos Coroneos, Caroling Wilby & Peter Douglas","Coroneos, Cosmos",2005,2005,not found,not found,not found,not found,not found,0.121805795,"85 VICTORIA STREET, ASHFIELD, NSW","85 Victoria St, Ashfield NSW 2131, Australia",151.1292733,-33.8952322,Great - Google
22071634,http://trove.nla.gov.au/work/22071634,"Report on the archaeological excavation of the Jobbins building, 105 Gloucester Street, the Rocks, Sydney, N.S.W. 1991-2 / E. Higginbotham","Higginbotham, Edward A. K",1992,1992,not found,not found,not found,not found,not found,0.12106775,"105 GLOUCESTER STREET, SYDNEY, NSW","105 Gloucester St, The Rocks NSW 2000, Australia",151.206851,-33.8603934,Great - Google
9458754,http://trove.nla.gov.au/work/9458754,"38 Hunter Street, Parramatta, NSW : archaeological assessment report & research design for proposed monitoring & recording of minor works at the site",Archaeological & Heritage Management Solutions (Firm),2003,2003,not found,not found,not found,not found,not found,0.12080326,"38 HUNTER STREET, PARRAMATTA, NSW","38 Hunter St, Parramatta NSW 2150, Australia",151.0023239,-33.8153171,Great - Google
9847551,http://trove.nla.gov.au/work/9847551,"12 Pitt St., Parramatta NSW : historical archaeological assessment report / Peter Douglas, Jim Wheeler & Laila Ellmoos","Douglas, Peter archaeologist",2004,2004,not found,not found,not found,not found,not found,0.11713108,"12 PITT ST, PARRAMATTA, NSW","12 Pitt St, Parramatta NSW 2150, Australia",150.9975221,-33.8161442,Great - Google
233105025,http://trove.nla.gov.au/work/233105025,"17a Castray Esplanade, Hobart, Tasmania : final archaeological report / Kelly Strickland and Martin Carney, Archaeological Management & Consulting Group for Shane Pritchard and George Giameos","Strickland, Kelly",2010,2010,not found,not found,not found,not found,not found,0.11618897,"17A CASTRAY ESPLANADE, Sydney, NSW","17A Castray Esplanade, Battery Point TAS 7004, Australia",147.336631,-42.886709,Great - Google
9529418,http://trove.nla.gov.au/work/9529418,"22-24 Kendall Street, Parramatta NSW : Aboriginal archaeological assessment & development impact assessment report / Fiona Leslie, Jim Wheeler & Peter Douglas","Leslie, Fiona",2003,2003,not found,not found,not found,not found,not found,0.1154543,"22-24 KENDALL STREET, PARRAMATTA, NSW","22 Kendall St, Harris Park NSW 2150, Australia",151.0088253,-33.8191937,Great - Google
25317652,http://trove.nla.gov.au/work/25317652,"643-651 Hunter Street, Newcastle : Aboriginal heritage impact assessment in support of a preliminary research permit application for archaeological test excavation at the site / Jim Wheeler ... [et al.]","Wheeler, Jim archaeologist",2004,2004,not found,not found,not found,not found,not found,0.115078226,"643-651 HUNTER STREET, NEWCASTLE, NSW","643 Hunter St, Newcastle West NSW 2302, Australia",151.7640618,-32.9272069,Great - Google
20853630,http://trove.nla.gov.au/work/20853630,"1927-1931 Pittwater Rd., Bayview, NSW / Peter Douglas","Douglas, Peter, archaeologist",2004-2005,2004,not found,not found,not found,not found,not found,0.11440225,"1927-1931 PITTWATER RD, BAYVIEW, NSW","1927-1931 Pittwater Rd, Bayview NSW 2104, Australia",151.2979568,-33.660667,Great - Google
8179988,http://trove.nla.gov.au/work/8179988,"Historical archaeological & development impact assessment report for 73 O'Connell Street, North Parramatta, NSW : report prepared to support a development application for proposed construction of a new trolley store at the site / Fiona Leslie ... [et at.]","Leslie, Fiona",2004,2004,not found,not found,not found,not found,not found,0.11401117,"73 O'CONNELL STREET, NORTH PARRAMATTA, NSW","73 O'Connell St, North Parramatta NSW 2151, Australia",150.9999314,-33.7973615,Great - Google
33452329,http://trove.nla.gov.au/work/33452329,"Historical archaeological assessment of 1D River Road, Sutherland, NSW : report prepared as part of a management options study for the site / Dan Tuck & Peter Douglas on behalf of NSW RTA Operations, Environmental Technology Branch","Tuck, Dan",2002,2002,not found,not found,not found,not found,not found,0.11313787,"1D RIVER ROAD, SUTHERLAND, NSW","1 River Rd, Sutherland NSW 2232, Australia",151.0530396,-34.0217217,Great - Google
34352160,http://trove.nla.gov.au/work/34352160,"700 Hunter Street Newcastle, NSW : Aboriginal archaeological assessment & results of consultation with Awabakal Local Aboriginal Land Council regarding the sites indigenous cultural values / Dominic Steele & Peter Douglas on behalf of Accor Asia Pacific (Economy Hotels)","Steele, Dominic",2001,2001,not found,not found,not found,not found,not found,0.11248932,"700 HUNTER STREET, AWABA, NSW","700 Hunter St, Newcastle West NSW 2302, Australia",151.7632838,-32.926362,Great - Google
153852438,http://trove.nla.gov.au/work/153852438,"Casselden Place, 50 Lonsdale Street, Melbourne archaeological excavations : research archive report / report prepared [by Godden Mackay Logan Pty Ltd, Austral Archaeology Pty Ltd and La Trobe University] for ISPT and Heritage Victoria",Industry Superannuation Property Trust,2004,2004,not found,not found,"[{u'linktype': u'unknown', u'type': u'url', u'value': u'G:\\IMT\\Information Management\\Library\\PDF publications\\gml_case_study_casselden_place.pdf'}]",G:\IMT\Information Management\Library\PDF publications\gml_case_study_casselden_place.pdf,unknown,0.11201486,"50 LONSDALE STREET, AUSTRAL, NSW","50 Lonsdale St, Melbourne VIC 3000, Australia",144.9706918,-37.8092885,Great - Google
9457735,http://trove.nla.gov.au/work/9457735,"Baseline history & archaeological assessment : ""Whiteoak"" 54 Albert Street, North Parramatta NSW",Archaeological & Heritage Management Solutions (Firm),1999,1999,not found,not found,not found,not found,not found,0.1111978,"54 ALBERT STREET, NORTH PARRAMATTA, NSW","54 Albert St, North Parramatta NSW 2151, Australia",151.008545,-33.8037465,Great - Google
8274078,http://trove.nla.gov.au/work/8274078,"Archaeological assessment at 20 Pitt Street, Parramatta / [Graham Wilson, Peter Douglas]","Wilson, Graham",1999,1999,not found,not found,not found,not found,not found,0.1106666,"20 PITT STREET, PARRAMATTA, NSW","20 Pitt St, Parramatta NSW 2150, Australia",150.9973358,-33.8166304,Great - Google
10779390,http://trove.nla.gov.au/work/10779390,"Report on the archaeological excavation of the site of the extensions to the Hawkesbury Museum, 7 Thompson Square, Windsor, N.S.W. 1992 / E. Higginbotham","Higginbotham, Edward A. K",1993,1993,not found,not found,not found,not found,not found,0.10972096,"7 THOMPSON SQUARE, WINDSOR, NSW","7 Thompson Square, Windsor NSW 2756, Australia",150.8224374,-33.6046146,Great - Google
8185146,http://trove.nla.gov.au/work/8185146,"Historical archaeological assessment of a proposed development site at 32-34 Regent Street Chippendale NSW : a report prepared on behalf of Timwin Consultants / Mark Dunne, Dan Tuck & Peter Douglas","Dunne, Mark",2001,2001,not found,not found,not found,not found,not found,0.10960569,"32-34 REGENT STREET, CHIPPENDALE, NSW","32-34 Regent St, Chippendale NSW 2008, Australia",151.202849,-33.8849254,Great - Google
30476079,http://trove.nla.gov.au/work/30476079,"Initial historical archaeological assessment of the proposed site for a group of townhouses at 16-18 Jane Street Balmain NSW / Graham Wilson, Dan Tuck & Peter Douglas","Wilson, Graham",2001,2001,not found,not found,not found,not found,not found,0.10896413,"16-18 JANE STREET, BALMAIN, NSW","16 Jane St, Balmain NSW 2041, Australia",151.1847399,-33.859552,Great - Google
200331996,http://trove.nla.gov.au/work/200331996,"1 William Street : Historical Archaeological Excavation Report (final) : Brookfield Multiplex Constructions and Cbus Property, 1 William Street Pty Ltd / ERM",Brookfield Multiplex Constructions,2014,2014,not found,not found,"[{u'linktype': u'unknown', u'type': u'url', u'linktext': u'SLQ', u'value': u'http://hdl.handle.net/10462/pdf/2135'}]",http://hdl.handle.net/10462/pdf/2135,unknown,0.10721758,"1 WILLIAM STREET, Sydney, NSW","1 William St, Darlinghurst NSW 2010, Australia",151.213301,-33.8740146,Great - Google
30061925,http://trove.nla.gov.au/work/30061925,"CB Hotel, 405-427 Pitt Street, Sydney : historical archaeological & development impact assessment / Fiona Leslie, Peter Douglas & Caroline Wilby","Leslie, Fiona",2003,2003,not found,not found,not found,not found,not found,0.10556579,"405-427 PITT STREET, SYDNEY, NSW","405 Pitt St, Haymarket NSW 2000, Australia",151.2070476,-33.8784748,Great - Google
9282751,http://trove.nla.gov.au/work/9282751,"Archaeological assessment & impact mitigation strategy for 31-33 Hunter Street, Parramatta",Archaeological & Heritage Management Solutions (Firm),1999,1999,not found,not found,not found,not found,not found,0.104552686,"31-33 HUNTER STREET, Sydney, NSW","31 Hunter St, Sydney NSW 2000, Australia",151.2090801,-33.8659545,Great - Google
169210571,http://trove.nla.gov.au/work/169210571,"Archaeological excavation : 48 Olola Avenue, Vaucluse NSW / Fenella Atkinson & Martin Carney","Atkinson, Fenella",2006,2006,not found,not found,not found,not found,not found,0.10262538,"48 OLOLA AVENUE, VAUCLUSE, NSW","48 Olola Ave, Vaucluse NSW 2030, Australia",151.2746876,-33.8557687,Great - Google
169926447,http://trove.nla.gov.au/work/169926447,"Archaeological excavation photographic volume : part of the Eastwood Brickyards site, 37 Midson Road, Eastwood, NSW / Fenella Atkinson and Ivana Vetta; Archaeological Managment & Consulting Group","Atkinson, Fenella",2009,2009,not found,not found,not found,not found,not found,0.100456595,"37 MIDSON ROAD, EASTWOOD, NSW","37 Midson Rd, Eastwood NSW 2122, Australia",151.0739662,-33.7839777,Great - Google
8273766,http://trove.nla.gov.au/work/8273766,"Mount Royal Apartments, 73 Marsden Street, Parramatta, NSW : historical archaeological assessment / Fiona Leslie & Peter Douglas","Leslie, Fiona",2004,2004,not found,not found,not found,not found,not found,0.09788416,"73 MARSDEN STREET, PARRAMATTA, NSW","73 Marsden St, Parramatta NSW 2150, Australia",151.000678,-33.8190646,Great - Google
34669218,http://trove.nla.gov.au/work/34669218,171-193 Gloucester Street The Rocks NSW : a research design & excavation methodology for proposed historical archaeological investigations at the site / Graham Wilson & Peter Douglas,"Wilson, Graham archaeologist",2005,2005,not found,not found,not found,not found,not found,0.09708613,"171-193 GLOUCESTER STREET, THE ROCK, NSW","171-193 Gloucester St, The Rocks NSW 2000, Australia",151.2057956,-33.8625269,Great - Google
34285249,http://trove.nla.gov.au/work/34285249,"No. 5 New Street, Windsor Historical Archaeological & Development Impact Assessment / Gina Scheer & Peter Douglas","Scheer, Gina",2005,2005,not found,not found,not found,not found,not found,0.0947694,"5 NEW STREET, WINDSOR, NSW","5 New St, Windsor NSW 2756, Australia",150.8176702,-33.607561,Great - Google
30060314,http://trove.nla.gov.au/work/30060314,"Vulcan Hotel, 494-500 Wattle Street Ultimo NSW : historical archaeological assessment, including a research design for archaeological monitoring & recording at the site / Fiona Leslie & Peter Douglas","Leslie, Fiona",2004,2004,not found,not found,not found,not found,not found,0.09277068,"494-500 WATTLE STREET, ULTIMO, NSW","494-500 Wattle St, Ultimo NSW 2007, Australia",151.1975333,-33.8817346,Great - Google
30478468,http://trove.nla.gov.au/work/30478468,"Archaeological assessment impact statement & proposed mitigation strategy, 15-17 Hunter Street, Sydney / Peter Douglas","Douglas, Peter archaeologist",1999,1999,not found,not found,not found,not found,not found,0.091763765,"15-17 HUNTER STREET, SYDNEY, NSW","15-17 Hunter St, Sydney NSW 2000, Australia",151.2080699,-33.8657809,Great - Google
14984583,http://trove.nla.gov.au/work/14984583,"A report on archaeological investigations at the Pensioner Guard Cottage, 1 Surrey Street Bassendean / Martin Gibbs","Gibbs, Martin (Martin David)",1991,1991,not found,not found,not found,not found,not found,0.09094577,"1 SURREY STREET, BASSENDEAN, NSW","1 Surrey St, Bassendean WA 6054, Australia",115.9592258,-31.9047062,Great - Google
8612054,http://trove.nla.gov.au/work/8612054,"24 Hunter Street, Parramatta, NSW : historical archaeological assessment & proposed development impact assessment / Fiona Leslie & Peter Douglas","Leslie, Fiona",2004,2004,not found,not found,not found,not found,not found,0.08815135,"24 HUNTER STREET, PARRAMATTA, NSW","24 Hunter St, Parramatta NSW 2150, Australia",151.0005631,-33.8152787,Great - Google
26604460,http://trove.nla.gov.au/work/26604460,"Baseline archaeological assessment : 1 Hunter Street Parramatta NSW / Martin D. Carney and Fenella Atkinson, Archaeological Management & Consulting Group Pty. Ltd. for Andre Porebski and Associates","Carney, Martin D",2000,2000,not found,not found,not found,not found,not found,0.087241165,"1 HUNTER STREET, PARRAMATTA, NSW","1 Hunter St, Parramatta NSW 2150, Australia",150.9978815,-33.815093,Great - Google
228852419,http://trove.nla.gov.au/work/228852419,"Bathurst Base Hospital, 361 Howick Street Bathurst, NSW : Aboriginal archaeological test excavation report / Fiona Leslie [and] Peter Douglas","Leslie, Fiona",2006,2006,not found,not found,not found,not found,not found,0.085569784,"361 HOWICK STREET, BATHURST, NSW","361 Howick St, West Bathurst NSW 2795, Australia",149.5722696,-33.4061851,Great - Google
153847191,http://trove.nla.gov.au/work/153847191,"300 Queen Street archaeological report prepared for the Department of Housing and Construction by Allom Lovell & Associates Pty. Ltd. in association with Judy Birmingham, Archaeological Consultants, June 1984",Allom Lovell and Associates Pty. Ltd,1984,1984,not found,not found,not found,not found,not found,0.08545588,"300 QUEEN STREET, Sydney, NSW","300 Queen St, Campbelltown NSW 2560, Australia",150.8114694,-34.0701419,Great - Google
34296916,http://trove.nla.gov.au/work/34296916,"Baseline archaeological assessment : 30 George Street Liverpool, New South Wales / a report prepared for Sacco Builders Pty Ltd [by] Dominic Steele","Steele, Dominic",2000,2000,not found,not found,not found,not found,not found,0.0842011,"30 GEORGE STREET, LIVERPOOL, NSW","30 George St, Liverpool NSW 2170, Australia",150.9263416,-33.9172402,Great - Google
34367886,http://trove.nla.gov.au/work/34367886,"Accor Ibis Hotel site 700 Hunter Street Newcastle, NSW : interim report on archaeological test & salvage excavations at the site / Peter Douglas, Dan Tuck & Dominic Steele on behalf of Accor Asia Pacific","Douglas, Peter, archaeologist",2001,2001,not found,not found,not found,not found,not found,0.08371159,"700 HUNTER STREET, NEWCASTLE, NSW","700 Hunter St, Newcastle West NSW 2302, Australia",151.7632838,-32.926362,Great - Google
34353025,http://trove.nla.gov.au/work/34353025,"90 Werombi Road (lot 10 DP845474), 5 Smalls Road (lot 201 DP734620), Camden NSW : Aboriginal archaeological survey & assessment / Fiona Leslie","Leslie, Fiona",2005,2005,not found,not found,not found,not found,not found,0.082460634,"90 WEROMBI ROAD, Sydney, NSW","90 Werombi Rd, Grasmere NSW 2570, Australia",150.6732513,-34.0519325,Great - Google
234932558,http://trove.nla.gov.au/work/234932558,"Final archaeological report : 320-338 George Street, Sydney NSW : photographic report / Archaeological Management & Consulting Group for Hemmes Hermitage Pty Ltd","Carney, Martin,",2015,2015,not found,not found,not found,not found,not found,0.08193962,"320-338 GEORGE STREET, SYDNEY, NSW","320 George St, Sydney NSW 2000, Australia",151.2074783,-33.8663009,Great - Google
